z_m,z_cm,B_T,B_mT
0.000000000000000000e+00,0.000000000000000000e+00,5.255143016902622845e-03,5.255143016902622755e+00
6.187290969899665594e-04,6.187290969899665594e-02,5.316344444331490629e-03,5.316344444331490671e+00
1.237458193979933119e-03,1.237458193979933119e-01,5.377645778676601838e-03,5.377645778676601651e+00
1.856187290969899678e-03,1.856187290969899539e-01,5.439047510813748744e-03,5.439047510813749042e+00
2.474916387959866237e-03,2.474916387959866237e-01,5.500550135651686816e-03,5.500550135651686823e+00
3.093645484949832797e-03,3.093645484949832936e-01,5.562154152178622711e-03,5.562154152178623079e+00
3.712374581939799356e-03,3.712374581939799079e-01,5.623860063509505437e-03,5.623860063509505736e+00
4.331103678929765916e-03,4.331103678929765777e-01,5.685668376933931609e-03,5.685668376933931789e+00
4.949832775919732475e-03,4.949832775919732475e-01,5.747579603964794032e-03,5.747579603964793726e+00
5.568561872909699034e-03,5.568561872909698618e-01,5.809594260387703976e-03,5.809594260387703990e+00
6.187290969899665594e-03,6.187290969899665871e-01,5.871712866311092592e-03,5.871712866311092682e+00
6.806020066889632153e-03,6.806020066889632014e-01,5.933935946217128513e-03,5.933935946217128610e+00
7.424749163879598712e-03,7.424749163879598157e-01,5.996264029013366643e-03,5.996264029013366859e+00
8.043478260869565272e-03,8.043478260869565410e-01,6.058697648085193191e-03,6.058697648085193066e+00
8.662207357859531831e-03,8.662207357859531554e-01,6.121237341349118101e-03,6.121237341349117678e+00
9.280936454849498390e-03,9.280936454849498807e-01,6.183883651306809094e-03,6.183883651306809170e+00
9.899665551839464950e-03,9.899665551839464950e-01,6.246637125100009541e-03,6.246637125100009236e+00
1.051839464882943151e-02,1.051839464882943220e+00,6.309498314566291607e-03,6.309498314566291732e+00
1.113712374581939807e-02,1.113712374581939724e+00,6.372467776295683700e-03,6.372467776295684061e+00
1.175585284280936463e-02,1.175585284280936449e+00,6.435546071688142723e-03,6.435546071688142966e+00
1.237458193979933119e-02,1.237458193979933174e+00,6.498733767011976095e-03,6.498733767011976248e+00
1.299331103678929775e-02,1.299331103678929678e+00,6.562031433463132862e-03,6.562031433463133112e+00
1.361204013377926431e-02,1.361204013377926403e+00,6.625439647225449778e-03,6.625439647225450202e+00
1.423076923076923087e-02,1.423076923076923128e+00,6.688958989531858419e-03,6.688958989531858634e+00
1.484949832775919742e-02,1.484949832775919631e+00,6.752590046726524714e-03,6.752590046726524520e+00
1.546822742474916398e-02,1.546822742474916357e+00,6.816333410328008491e-03,6.816333410328008213e+00
1.608695652173913054e-02,1.608695652173913082e+00,6.880189677093421358e-03,6.880189677093420997e+00
1.670568561872909710e-02,1.670568561872909807e+00,6.944159449083594192e-03,6.944159449083594282e+00
1.732441471571906366e-02,1.732441471571906311e+00,7.008243333729326230e-03,7.008243333729326174e+00
1.794314381270903022e-02,1.794314381270903036e+00,7.072441943898660245e-03,7.072441943898660099e+00
1.856187290969899678e-02,1.856187290969899761e+00,7.136755897965272287e-03,7.136755897965271878e+00
1.918060200668896334e-02,1.918060200668896265e+00,7.201185819877974244e-03,7.201185819877974126e+00
1.979933110367892990e-02,1.979933110367892990e+00,7.265732339231321425e-03,7.265732339231321113e+00
2.041806020066889646e-02,2.041806020066889715e+00,7.330396091337399757e-03,7.330396091337399334e+00
2.103678929765886302e-02,2.103678929765886441e+00,7.395177717298789984e-03,7.395177717298789588e+00
2.165551839464882958e-02,2.165551839464883166e+00,7.460077864082714089e-03,7.460077864082713894e+00
2.227424749163879614e-02,2.227424749163879447e+00,7.525097184596422038e-03,7.525097184596422295e+00
2.289297658862876270e-02,2.289297658862876172e+00,7.590236337763836202e-03,7.590236337763836438e+00
2.351170568561872926e-02,2.351170568561872898e+00,7.655495988603430897e-03,7.655495988603431279e+00
2.413043478260869582e-02,2.413043478260869623e+00,7.720876808307495370e-03,7.720876808307495232e+00
2.474916387959866237e-02,2.474916387959866348e+00,7.786379474322618031e-03,7.786379474322617789e+00
2.536789297658862893e-02,2.536789297658863074e+00,7.852004670431627850e-03,7.852004670431627531e+00
2.598662207357859549e-02,2.598662207357859355e+00,7.917753086836834195e-03,7.917753086836833987e+00
2.660535117056856205e-02,2.660535117056856080e+00,7.983625420244765472e-03,7.983625420244765181e+00
2.722408026755852861e-02,2.722408026755852806e+00,8.049622373952266055e-03,8.049622373952265875e+00
2.784280936454849517e-02,2.784280936454849531e+00,8.115744657934123238e-03,8.115744657934122586e+00
2.846153846153846173e-02,2.846153846153846256e+00,8.181992988932176511e-03,8.181992988932176303e+00
2.908026755852842829e-02,2.908026755852842982e+00,8.248368090545929107e-03,8.248368090545929121e+00
2.969899665551839485e-02,2.969899665551839263e+00,8.314870693324833556e-03,8.314870693324833084e+00
3.031772575250836141e-02,3.031772575250835988e+00,8.381501534862015323e-03,8.381501534862016101e+00
3.093645484949832797e-02,3.093645484949832714e+00,8.448261359889798830e-03,8.448261359889798428e+00
3.155518394648829106e-02,3.155518394648828995e+00,8.515150920376763494e-03,8.515150920376763466e+00
3.217391304347826109e-02,3.217391304347826164e+00,8.582170975626603887e-03,8.582170975626603138e+00
3.279264214046823112e-02,3.279264214046823334e+00,8.649322292378665636e-03,8.649322292378665011e+00
3.341137123745819421e-02,3.341137123745819615e+00,8.716605644910316655e-03,8.716605644910316641e+00
3.403010033444815730e-02,3.403010033444815896e+00,8.784021815141072193e-03,8.784021815141072054e+00
3.464882943143812732e-02,3.464882943143812621e+00,8.851571592738661023e-03,8.851571592738661565e+00
3.526755852842809735e-02,3.526755852842809791e+00,8.919255775226899233e-03,8.919255775226899274e+00
3.588628762541806044e-02,3.588628762541806072e+00,8.987075168095569333e-03,8.987075168095568500e+00
3.650501672240802353e-02,3.650501672240802353e+00,9.055030584912245745e-03,9.055030584912245217e+00
3.712374581939799356e-02,3.712374581939799523e+00,9.123122847436182861e-03,9.123122847436182070e+00
3.774247491638796359e-02,3.774247491638796248e+00,9.191352785734258762e-03,9.191352785734258291e+00
3.836120401337792668e-02,3.836120401337792529e+00,9.259721238298993656e-03,9.259721238298993740e+00
3.897993311036788977e-02,3.897993311036788810e+00,9.328229052168825197e-03,9.328229052168826030e+00
3.959866220735785980e-02,3.959866220735785980e+00,9.396877083050508839e-03,9.396877083050508617e+00
4.021739130434782983e-02,4.021739130434783149e+00,9.465666195443830574e-03,9.465666195443830588e+00
4.083612040133779292e-02,4.083612040133779431e+00,9.534597262768651146e-03,9.534597262768651049e+00
4.145484949832775601e-02,4.145484949832775712e+00,9.603671167494245292e-03,9.603671167494244543e+00
4.207357859531772604e-02,4.207357859531772881e+00,9.672888801271175424e-03,9.672888801271176007e+00
4.269230769230769607e-02,4.269230769230770051e+00,9.742251065065526267e-03,9.742251065065525850e+00
4.331103678929765916e-02,4.331103678929766332e+00,9.811758869295751986e-03,9.811758869295751140e+00
4.392976588628762225e-02,4.392976588628762613e+00,9.881413133972111532e-03,9.881413133972111851e+00
4.454849498327759227e-02,4.454849498327758894e+00,9.951214788838730341e-03,9.951214788838729675e+00
4.516722408026756230e-02,4.516722408026756064e+00,1.002116477351838557e-02,1.002116477351838597e+01
4.578595317725752539e-02,4.578595317725752345e+00,1.009126403766009462e-02,1.009126403766009439e+01
4.640468227424748848e-02,4.640468227424748626e+00,1.016151354108954866e-02,1.016151354108954941e+01
4.702341137123745851e-02,4.702341137123745796e+00,1.023191425396240833e-02,1.023191425396240817e+01
4.764214046822742854e-02,4.764214046822742965e+00,1.030246715692064753e-02,1.030246715692064718e+01
4.826086956521739163e-02,4.826086956521739246e+00,1.037317324125195360e-02,1.037317324125195306e+01
4.887959866220735472e-02,4.887959866220735528e+00,1.044403350905216167e-02,1.044403350905216143e+01
4.949832775919732475e-02,4.949832775919732697e+00,1.051504897339101269e-02,1.051504897339101241e+01
5.011705685618729478e-02,5.011705685618729866e+00,1.058622065848112762e-02,1.058622065848112825e+01
5.073578595317725787e-02,5.073578595317726148e+00,1.065754959985034007e-02,1.065754959985033956e+01
5.135451505016722096e-02,5.135451505016722429e+00,1.072903684451748628e-02,1.072903684451748596e+01
5.197324414715719099e-02,5.197324414715718710e+00,1.080068345117173208e-02,1.080068345117173223e+01
5.259197324414716102e-02,5.259197324414715879e+00,1.087249049035549087e-02,1.087249049035549042e+01
5.321070234113712411e-02,5.321070234113712161e+00,1.094445904465105208e-02,1.094445904465105279e+01
5.382943143812708719e-02,5.382943143812708442e+00,1.101659020887101222e-02,1.101659020887101192e+01
5.444816053511705722e-02,5.444816053511705611e+00,1.108888509025260892e-02,1.108888509025260838e+01
5.506688963210702725e-02,5.506688963210702781e+00,1.116134480865599299e-02,1.116134480865599343e+01
5.568561872909699034e-02,5.568561872909699062e+00,1.123397049676663068e-02,1.123397049676663073e+01
5.630434782608695343e-02,5.630434782608695343e+00,1.130676330030191620e-02,1.130676330030191679e+01
5.692307692307692346e-02,5.692307692307692513e+00,1.137972437822200138e-02,1.137972437822200078e+01
5.754180602006689349e-02,5.754180602006689682e+00,1.145285490294514069e-02,1.145285490294514119e+01
5.816053511705685658e-02,5.816053511705685963e+00,1.152615606056745998e-02,1.152615606056746067e+01
5.877926421404681967e-02,5.877926421404682245e+00,1.159962905108741227e-02,1.159962905108741182e+01
5.939799331103678970e-02,5.939799331103678526e+00,1.167327508863501284e-02,1.167327508863501251e+01
6.001672240802675973e-02,6.001672240802675695e+00,1.174709540170588810e-02,1.174709540170588795e+01
6.063545150501672282e-02,6.063545150501671976e+00,1.182109123340040029e-02,1.182109123340040036e+01
6.125418060200668591e-02,6.125418060200668258e+00,1.189526384166785487e-02,1.189526384166785533e+01
6.187290969899665594e-02,6.187290969899665427e+00,1.196961449955606140e-02,1.196961449955606227e+01
6.249163879598662596e-02,6.249163879598662596e+00,1.204414449546621114e-02,1.204414449546621135e+01
6.311036789297658212e-02,6.311036789297657990e+00,1.211885513341342049e-02,1.211885513341342069e+01
6.372909698996655214e-02,6.372909698996655159e+00,1.219374773329288085e-02,1.219374773329288075e+01
6.434782608695652217e-02,6.434782608695652328e+00,1.226882363115196391e-02,1.226882363115196384e+01
6.496655518394649220e-02,6.496655518394649498e+00,1.234408417946829956e-02,1.234408417946830028e+01
6.558528428093646223e-02,6.558528428093646667e+00,1.241953074743403808e-02,1.241953074743403818e+01
6.620401337792641838e-02,6.620401337792642060e+00,1.249516472124650134e-02,1.249516472124650157e+01
6.682274247491638841e-02,6.682274247491639230e+00,1.257098750440532528e-02,1.257098750440532520e+01
6.744147157190635844e-02,6.744147157190635511e+00,1.264700051801632627e-02,1.264700051801632696e+01
6.806020066889631459e-02,6.806020066889631792e+00,1.272320520110227851e-02,1.272320520110227804e+01
6.867892976588628462e-02,6.867892976588628073e+00,1.279960301092076570e-02,1.279960301092076591e+01
6.929765886287625465e-02,6.929765886287625243e+00,1.287619542328931853e-02,1.287619542328931921e+01
6.991638795986622468e-02,6.991638795986622412e+00,1.295298393291804614e-02,1.295298393291804651e+01
7.053511705685619471e-02,7.053511705685619582e+00,1.302997005374997505e-02,1.302997005374997563e+01
7.115384615384615086e-02,7.115384615384614975e+00,1.310715531930930350e-02,1.310715531930930311e+01
7.177257525083612089e-02,7.177257525083612144e+00,1.318454128305782298e-02,1.318454128305782369e+01
7.239130434782609091e-02,7.239130434782609314e+00,1.326212951875969763e-02,1.326212951875969814e+01
7.301003344481604707e-02,7.301003344481604707e+00,1.333992162085491200e-02,1.333992162085491273e+01
7.362876254180601709e-02,7.362876254180601876e+00,1.341791920484154341e-02,1.341791920484154410e+01
7.424749163879598712e-02,7.424749163879599045e+00,1.349612390766719190e-02,1.349612390766719194e+01
7.486622073578595715e-02,7.486622073578595327e+00,1.357453738812985922e-02,1.357453738812985833e+01
7.548494983277592718e-02,7.548494983277592496e+00,1.365316132728843987e-02,1.365316132728844067e+01
7.610367892976588333e-02,7.610367892976588777e+00,1.373199742888320946e-02,1.373199742888320962e+01
7.672240802675585336e-02,7.672240802675585059e+00,1.381104741976662068e-02,1.381104741976661998e+01
7.734113712374582339e-02,7.734113712374582228e+00,1.389031305034461698e-02,1.389031305034461639e+01
7.795986622073577954e-02,7.795986622073577621e+00,1.396979609502884204e-02,1.396979609502884223e+01
7.857859531772574957e-02,7.857859531772574790e+00,1.404949835270015261e-02,1.404949835270015335e+01
7.919732441471571960e-02,7.919732441471571960e+00,1.412942164718358068e-02,1.412942164718358029e+01
7.981605351170568963e-02,7.981605351170569129e+00,1.420956782773534488e-02,1.420956782773534499e+01
8.043478260869565966e-02,8.043478260869566299e+00,1.428993876954202415e-02,1.428993876954202413e+01
8.105351170568561581e-02,8.105351170568560804e+00,1.437053637423251970e-02,1.437053637423252006e+01
8.167224080267558584e-02,8.167224080267558861e+00,1.445136257040301013e-02,1.445136257040300976e+01
8.229096989966555586e-02,8.229096989966555142e+00,1.453241931415540436e-02,1.453241931415540478e+01
8.290969899665551202e-02,8.290969899665551424e+00,1.461370858964969668e-02,1.461370858964969699e+01
8.352842809364548204e-02,8.352842809364547705e+00,1.469523240967067317e-02,1.469523240967067323e+01
8.414715719063545207e-02,8.414715719063545762e+00,1.477699281620942738e-02,1.477699281620942706e+01
8.476588628762542210e-02,8.476588628762542044e+00,1.485899188106010009e-02,1.485899188106010094e+01
8.538461538461539213e-02,8.538461538461540101e+00,1.494123170643247601e-02,1.494123170643247533e+01
8.600334448160534828e-02,8.600334448160534606e+00,1.502371442558077773e-02,1.502371442558077774e+01
8.662207357859531831e-02,8.662207357859532664e+00,1.510644220344932454e-02,1.510644220344932442e+01
8.724080267558528834e-02,8.724080267558528945e+00,1.518941723733556286e-02,1.518941723733556337e+01
8.785953177257524449e-02,8.785953177257525226e+00,1.527264175757101113e-02,1.527264175757101050e+01
8.847826086956521452e-02,8.847826086956521507e+00,1.535611802822072110e-02,1.535611802822072036e+01
8.909698996655518455e-02,8.909698996655517789e+00,1.543984834780200849e-02,1.543984834780200899e+01
8.971571906354515458e-02,8.971571906354515846e+00,1.552383505002284149e-02,1.552383505002284103e+01
9.033444816053512461e-02,9.033444816053512127e+00,1.560808050454082045e-02,1.560808050454082085e+01
9.095317725752508076e-02,9.095317725752508409e+00,1.569258711774325354e-02,1.569258711774325299e+01
9.157190635451505079e-02,9.157190635451504690e+00,1.577735733354920789e-02,1.577735733354920811e+01
9.219063545150502081e-02,9.219063545150502748e+00,1.586239363423417106e-02,1.586239363423417181e+01
9.280936454849497697e-02,9.280936454849497252e+00,1.594769854127811928e-02,1.594769854127812003e+01
9.342809364548494699e-02,9.342809364548495310e+00,1.603327461623796704e-02,1.603327461623796779e+01
9.404682274247491702e-02,9.404682274247491591e+00,1.611912446164500551e-02,1.611912446164500423e+01
9.466555183946488705e-02,9.466555183946487873e+00,1.620525072192845542e-02,1.620525072192845428e+01
9.528428093645485708e-02,9.528428093645485930e+00,1.629165608436584575e-02,1.629165608436584733e+01
9.590301003344481323e-02,9.590301003344482211e+00,1.637834328006142551e-02,1.637834328006142570e+01
9.652173913043478326e-02,9.652173913043478493e+00,1.646531508495337193e-02,1.646531508495337093e+01
9.714046822742475329e-02,9.714046822742474774e+00,1.655257432085099206e-02,1.655257432085099367e+01
9.775919732441470944e-02,9.775919732441471055e+00,1.664012385650303141e-02,1.664012385650303116e+01
9.837792642140467947e-02,9.837792642140467336e+00,1.672796660869810964e-02,1.672796660869811092e+01
9.899665551839464950e-02,9.899665551839465394e+00,1.681610554339859481e-02,1.681610554339859576e+01
9.961538461538461953e-02,9.961538461538461675e+00,1.690454367690910273e-02,1.690454367690910331e+01
1.002341137123745896e-01,1.002341137123745973e+01,1.699328407708095012e-02,1.699328407708095057e+01
1.008528428093645457e-01,1.008528428093645424e+01,1.708232986455391830e-02,1.708232986455391966e+01
1.014715719063545157e-01,1.014715719063545230e+01,1.717168421403673928e-02,1.717168421403673761e+01
1.020903010033444858e-01,1.020903010033444858e+01,1.726135035562775463e-02,1.726135035562775499e+01
1.027090301003344419e-01,1.027090301003344486e+01,1.735133157617744365e-02,1.735133157617744359e+01
1.033277591973244119e-01,1.033277591973244114e+01,1.744163122069421548e-02,1.744163122069421590e+01
1.039464882943143820e-01,1.039464882943143742e+01,1.753225269379541859e-02,1.753225269379541729e+01
1.045652173913043520e-01,1.045652173913043548e+01,1.762319946120513570e-02,1.762319946120513592e+01
1.051839464882943220e-01,1.051839464882943176e+01,1.771447505130079036e-02,1.771447505130079136e+01
1.058026755852842782e-01,1.058026755852842804e+01,1.780608305671035896e-02,1.780608305671036007e+01
1.064214046822742482e-01,1.064214046822742432e+01,1.789802713596244654e-02,1.789802713596244743e+01
1.070401337792642182e-01,1.070401337792642238e+01,1.799031101519110026e-02,1.799031101519110010e+01
1.076588628762541744e-01,1.076588628762541688e+01,1.808293848989787553e-02,1.808293848989787378e+01
1.082775919732441444e-01,1.082775919732441494e+01,1.817591342677334076e-02,1.817591342677334154e+01
1.088963210702341144e-01,1.088963210702341122e+01,1.826923976558050833e-02,1.826923976558050811e+01
1.095150501672240845e-01,1.095150501672240928e+01,1.836292152110291856e-02,1.836292152110291909e+01
1.101337792642140545e-01,1.101337792642140556e+01,1.845696278515988192e-02,1.845696278515988098e+01
1.107525083612040107e-01,1.107525083612040184e+01,1.855136772869199480e-02,1.855136772869199646e+01
1.113712374581939807e-01,1.113712374581939812e+01,1.864614060391969405e-02,1.864614060391969375e+01
1.119899665551839507e-01,1.119899665551839441e+01,1.874128574657823315e-02,1.874128574657823165e+01
1.126086956521739069e-01,1.126086956521739069e+01,1.883680757823216062e-02,1.883680757823216112e+01
1.132274247491638769e-01,1.132274247491638697e+01,1.893271060867308606e-02,1.893271060867308719e+01
1.138461538461538469e-01,1.138461538461538503e+01,1.902899943840414068e-02,1.902899943840414210e+01
1.144648829431438170e-01,1.144648829431438131e+01,1.912567876121517088e-02,1.912567876121516974e+01
1.150836120401337870e-01,1.150836120401337936e+01,1.922275336685267885e-02,1.922275336685267888e+01
1.157023411371237431e-01,1.157023411371237387e+01,1.932022814378883679e-02,1.932022814378883524e+01
1.163210702341137132e-01,1.163210702341137193e+01,1.941810808209410572e-02,1.941810808209410411e+01
1.169397993311036832e-01,1.169397993311036821e+01,1.951639827641815997e-02,1.951639827641815828e+01
1.175585284280936393e-01,1.175585284280936449e+01,1.961510392908429046e-02,1.961510392908429168e+01
1.181772575250836094e-01,1.181772575250836077e+01,1.971423035330247681e-02,1.971423035330247586e+01
1.187959866220735794e-01,1.187959866220735705e+01,1.981378297650683920e-02,1.981378297650683962e+01
1.194147157190635494e-01,1.194147157190635511e+01,1.991376734382330552e-02,1.991376734382330582e+01
1.200334448160535195e-01,1.200334448160535139e+01,2.001418912167388792e-02,2.001418912167388697e+01
1.206521739130434756e-01,1.206521739130434767e+01,2.011505410152406720e-02,2.011505410152406625e+01
1.212709030100334456e-01,1.212709030100334395e+01,2.021636820378040419e-02,2.021636820378040511e+01
1.218896321070234157e-01,1.218896321070234201e+01,2.031813748184569876e-02,2.031813748184569945e+01
1.225083612040133718e-01,1.225083612040133652e+01,2.042036812633965873e-02,2.042036812633966036e+01
1.231270903010033418e-01,1.231270903010033457e+01,2.052306646949336386e-02,2.052306646949336510e+01
1.237458193979933119e-01,1.237458193979933085e+01,2.062623898972631639e-02,2.062623898972631764e+01
1.243645484949832819e-01,1.243645484949832891e+01,2.072989231641545610e-02,2.072989231641545516e+01
1.249832775919732519e-01,1.249832775919732519e+01,2.083403323486616651e-02,2.083403323486616543e+01
1.256020066889632081e-01,1.256020066889632147e+01,2.093866869149563215e-02,2.093866869149563215e+01
1.262207357859531642e-01,1.262207357859531598e+01,2.104380579923998545e-02,2.104380579923998695e+01
1.268394648829431481e-01,1.268394648829431404e+01,2.114945184319690780e-02,2.114945184319690696e+01
1.274581939799331043e-01,1.274581939799331032e+01,2.125561428651656648e-02,2.125561428651656826e+01
1.280769230769230882e-01,1.280769230769230838e+01,2.136230077655423137e-02,2.136230077655423187e+01
1.286956521739130443e-01,1.286956521739130466e+01,2.146951915129898664e-02,2.146951915129898580e+01
1.293143812709030005e-01,1.293143812709029916e+01,2.157727744609379619e-02,2.157727744609379528e+01
1.299331103678929844e-01,1.299331103678929900e+01,2.168558390066329528e-02,2.168558390066329622e+01
1.305518394648829406e-01,1.305518394648829350e+01,2.179444696646655466e-02,2.179444696646655544e+01
1.311705685618729245e-01,1.311705685618729333e+01,2.190387531439362198e-02,2.190387531439362334e+01
1.317892976588628806e-01,1.317892976588628784e+01,2.201387784282538007e-02,2.201387784282538007e+01
1.324080267558528368e-01,1.324080267558528412e+01,2.212446368607825717e-02,2.212446368607825775e+01
1.330267558528428207e-01,1.330267558528428218e+01,2.223564222325615999e-02,2.223564222325616058e+01
1.336454849498327768e-01,1.336454849498327846e+01,2.234742308753407888e-02,2.234742308753407869e+01
1.342642140468227330e-01,1.342642140468227296e+01,2.245981617589938237e-02,2.245981617589938395e+01
1.348829431438127169e-01,1.348829431438127102e+01,2.257283165937861574e-02,2.257283165937861469e+01
1.355016722408026730e-01,1.355016722408026730e+01,2.268647999377966518e-02,2.268647999377966684e+01
1.361204013377926292e-01,1.361204013377926358e+01,2.280077193098157054e-02,2.280077193098157196e+01
1.367391304347826131e-01,1.367391304347826164e+01,2.291571853080631369e-02,2.291571853080631271e+01
1.373578595317725692e-01,1.373578595317725615e+01,2.303133117350978157e-02,2.303133117350978054e+01
1.379765886287625531e-01,1.379765886287625598e+01,2.314762157293177511e-02,2.314762157293177580e+01
1.385953177257525093e-01,1.385953177257525049e+01,2.326460179034813003e-02,2.326460179034813081e+01
1.392140468227424654e-01,1.392140468227424677e+01,2.338228424907131189e-02,2.338228424907131142e+01
1.398327759197324494e-01,1.398327759197324482e+01,2.350068174984944191e-02,2.350068174984944136e+01
1.404515050167224055e-01,1.404515050167224111e+01,2.361980748711781097e-02,2.361980748711781075e+01
1.410702341137123894e-01,1.410702341137123916e+01,2.373967506616138715e-02,2.373967506616138579e+01
1.416889632107023456e-01,1.416889632107023544e+01,2.386029852125134618e-02,2.386029852125134454e+01
1.423076923076923017e-01,1.423076923076922995e+01,2.398169233482419851e-02,2.398169233482419926e+01
1.429264214046822856e-01,1.429264214046822801e+01,2.410387145777760989e-02,2.410387145777761120e+01
1.435451505016722418e-01,1.435451505016722429e+01,2.422685133096346907e-02,2.422685133096346988e+01
1.441638795986621979e-01,1.441638795986622057e+01,2.435064790796572648e-02,2.435064790796572609e+01
1.447826086956521818e-01,1.447826086956521863e+01,2.447527767925804232e-02,2.447527767925804199e+01
1.454013377926421380e-01,1.454013377926421313e+01,2.460075769784482100e-02,2.460075769784481992e+01
1.460200668896320941e-01,1.460200668896320941e+01,2.472710560649854852e-02,2.472710560649854727e+01
1.466387959866220780e-01,1.466387959866220747e+01,2.485433966671659820e-02,2.485433966671659789e+01
1.472575250836120342e-01,1.472575250836120375e+01,2.498247878953196305e-02,2.498247878953196377e+01
1.478762541806020181e-01,1.478762541806020181e+01,2.511154256832527285e-02,2.511154256832527309e+01
1.484949832775919742e-01,1.484949832775919809e+01,2.524155131379907796e-02,2.524155131379907857e+01
1.491137123745819304e-01,1.491137123745819260e+01,2.537252609129136624e-02,2.537252609129136616e+01
1.497324414715719143e-01,1.497324414715719065e+01,2.550448876062231737e-02,2.550448876062231562e+01
1.503511705685618705e-01,1.503511705685618693e+01,2.563746201868761024e-02,2.563746201868761077e+01
1.509698996655518544e-01,1.509698996655518499e+01,2.577146944503365053e-02,2.577146944503364878e+01
1.515886287625418105e-01,1.515886287625418127e+01,2.590653555067337285e-02,2.590653555067337166e+01
1.522073578595317667e-01,1.522073578595317755e+01,2.604268583042930116e-02,2.604268583042930274e+01
1.528260869565217506e-01,1.528260869565217561e+01,2.617994681912005211e-02,2.617994681912005106e+01
1.534448160535117067e-01,1.534448160535117012e+01,2.631834615194121943e-02,2.631834615194122051e+01
1.540635451505016629e-01,1.540635451505016640e+01,2.645791262942965433e-02,2.645791262942965361e+01
1.546822742474916468e-01,1.546822742474916446e+01,2.659867628744372672e-02,2.659867628744372681e+01
1.553010033444816029e-01,1.553010033444816074e+01,2.674066847264123734e-02,2.674066847264123581e+01
