z_m,B_T,target_region,z_mm,B_mT
-0.013,-0.009824773050278918,left_cubic_extension,-13.0,-9.82477305027892
-0.012908450704225352,-0.009811590937505223,left_cubic_extension,-12.908450704225352,-9.811590937505223
-0.012816901408450704,-0.009798406906851475,left_cubic_extension,-12.816901408450704,-9.798406906851476
-0.012725352112676057,-0.009785220955867402,left_cubic_extension,-12.725352112676056,-9.785220955867402
-0.012633802816901407,-0.009772033082102729,left_cubic_extension,-12.633802816901408,-9.772033082102729
-0.01254225352112676,-0.009758843283107185,left_cubic_extension,-12.54225352112676,-9.758843283107185
-0.012450704225352112,-0.009745651556430495,left_cubic_extension,-12.450704225352112,-9.745651556430495
-0.012359154929577464,-0.009732457899622387,left_cubic_extension,-12.359154929577464,-9.732457899622387
-0.012267605633802817,-0.009719262310232587,left_cubic_extension,-12.267605633802816,-9.719262310232587
-0.012176056338028169,-0.009706064785810821,left_cubic_extension,-12.17605633802817,-9.70606478581082
-0.012084507042253521,-0.009692865323906818,left_cubic_extension,-12.084507042253522,-9.692865323906819
-0.011992957746478872,-0.009679663922070304,left_cubic_extension,-11.992957746478872,-9.679663922070304
-0.011901408450704224,-0.009666460577851005,left_cubic_extension,-11.901408450704224,-9.666460577851005
-0.011809859154929577,-0.009653255288798648,left_cubic_extension,-11.809859154929576,-9.653255288798647
-0.01171830985915493,-0.00964004805246296,left_cubic_extension,-11.71830985915493,-9.640048052462959
-0.011626760563380282,-0.009626838866393669,left_cubic_extension,-11.626760563380282,-9.626838866393669
-0.011535211267605634,-0.009613627728140499,left_cubic_extension,-11.535211267605634,-9.613627728140498
-0.011443661971830985,-0.00960041463525318,left_cubic_extension,-11.443661971830984,-9.60041463525318
-0.011352112676056337,-0.009587199585281436,left_cubic_extension,-11.352112676056336,-9.587199585281436
-0.01126056338028169,-0.009573982575774995,left_cubic_extension,-11.26056338028169,-9.573982575774995
-0.011169014084507042,-0.009560763604283585,left_cubic_extension,-11.169014084507042,-9.560763604283585
-0.011077464788732394,-0.009547542668356931,left_cubic_extension,-11.077464788732394,-9.54754266835693
-0.010985915492957746,-0.009534319765544762,left_cubic_extension,-10.985915492957746,-9.534319765544762
-0.010894366197183099,-0.009521094893396802,left_cubic_extension,-10.894366197183098,-9.521094893396802
-0.010802816901408451,-0.009507868049462779,left_cubic_extension,-10.802816901408452,-9.507868049462779
-0.010711267605633802,-0.00949463923129242,left_cubic_extension,-10.711267605633802,-9.49463923129242
-0.010619718309859154,-0.00948140843643545,left_cubic_extension,-10.619718309859154,-9.48140843643545
-0.010528169014084507,-0.0094681756624416,left_cubic_extension,-10.528169014084506,-9.4681756624416
-0.010436619718309859,-0.009454940906860594,left_cubic_extension,-10.436619718309858,-9.454940906860594
-0.010345070422535211,-0.009441704167242158,left_cubic_extension,-10.345070422535212,-9.441704167242158
-0.010253521126760562,-0.00942846544113602,left_cubic_extension,-10.253521126760562,-9.428465441136021
-0.010161971830985914,-0.009415224726091909,left_cubic_extension,-10.161971830985914,-9.415224726091909
-0.010070422535211267,-0.009401982019659548,left_cubic_extension,-10.070422535211266,-9.401982019659547
-0.009978873239436619,-0.009388737319388664,left_cubic_extension,-9.978873239436618,-9.388737319388664
-0.009887323943661971,-0.009375490622828987,left_cubic_extension,-9.887323943661972,-9.375490622828986
-0.009795774647887324,-0.00936224192753024,left_cubic_extension,-9.795774647887324,-9.36224192753024
-0.009704225352112676,-0.009348991231042153,left_cubic_extension,-9.704225352112676,-9.348991231042154
-0.009612676056338029,-0.009335738530914451,left_cubic_extension,-9.612676056338028,-9.335738530914451
-0.00952112676056338,-0.009322483824696862,left_cubic_extension,-9.52112676056338,-9.322483824696862
-0.009429577464788732,-0.009309227109939111,left_cubic_extension,-9.429577464788732,-9.309227109939112
-0.009338028169014084,-0.009295968384190927,left_cubic_extension,-9.338028169014084,-9.295968384190926
-0.009246478873239436,-0.009282707645002036,left_cubic_extension,-9.246478873239436,-9.282707645002036
-0.009154929577464789,-0.009269444889922164,left_cubic_extension,-9.154929577464788,-9.269444889922164
-0.00906338028169014,-0.009256180116501037,left_cubic_extension,-9.06338028169014,-9.256180116501037
-0.008971830985915492,-0.009242913322288385,left_cubic_extension,-8.971830985915492,-9.242913322288386
-0.008880281690140844,-0.009229644504833932,left_cubic_extension,-8.880281690140844,-9.229644504833932
-0.008788732394366196,-0.009216373661687406,left_cubic_extension,-8.788732394366196,-9.216373661687406
