z_m,B_T,target_region,z_mm,B_mT
-0.013,-0.013881926831646936,left_cubic_extension,-13.0,-13.881926831646936
-0.012908450704225352,-0.01386755504846932,left_cubic_extension,-12.908450704225352,-13.86755504846932
-0.012816901408450704,-0.013853181152238901,left_cubic_extension,-12.816901408450704,-13.853181152238902
-0.012725352112676057,-0.01383880514026184,left_cubic_extension,-12.725352112676056,-13.83880514026184
-0.012633802816901407,-0.013824427009844296,left_cubic_extension,-12.633802816901408,-13.824427009844296
-0.01254225352112676,-0.013810046758292428,left_cubic_extension,-12.54225352112676,-13.810046758292428
-0.012450704225352112,-0.013795664382912395,left_cubic_extension,-12.450704225352112,-13.795664382912395
-0.012359154929577464,-0.013781279881010362,left_cubic_extension,-12.359154929577464,-13.781279881010363
-0.012267605633802817,-0.013766893249892482,left_cubic_extension,-12.267605633802816,-13.766893249892481
-0.012176056338028169,-0.013752504486864919,left_cubic_extension,-12.17605633802817,-13.752504486864918
-0.012084507042253521,-0.013738113589233832,left_cubic_extension,-12.084507042253522,-13.738113589233832
-0.011992957746478872,-0.013723720554305378,left_cubic_extension,-11.992957746478872,-13.723720554305377
-0.011901408450704224,-0.013709325379385722,left_cubic_extension,-11.901408450704224,-13.709325379385723
-0.011809859154929577,-0.01369492806178102,left_cubic_extension,-11.809859154929576,-13.69492806178102
-0.01171830985915493,-0.013680528598797433,left_cubic_extension,-11.71830985915493,-13.680528598797432
-0.011626760563380282,-0.01366612698774112,left_cubic_extension,-11.626760563380282,-13.666126987741121
-0.011535211267605634,-0.013651723225918242,left_cubic_extension,-11.535211267605634,-13.651723225918241
-0.011443661971830985,-0.013637317310634956,left_cubic_extension,-11.443661971830984,-13.637317310634957
-0.011352112676056337,-0.013622909239197427,left_cubic_extension,-11.352112676056336,-13.622909239197426
-0.01126056338028169,-0.01360849900891181,left_cubic_extension,-11.26056338028169,-13.60849900891181
-0.011169014084507042,-0.013594086617084267,left_cubic_extension,-11.169014084507042,-13.594086617084267
-0.011077464788732394,-0.013579672061020958,left_cubic_extension,-11.077464788732394,-13.579672061020958
-0.010985915492957746,-0.013565255338028041,left_cubic_extension,-10.985915492957746,-13.565255338028042
-0.010894366197183099,-0.013550836445411678,left_cubic_extension,-10.894366197183098,-13.550836445411678
-0.010802816901408451,-0.013536415380478027,left_cubic_extension,-10.802816901408452,-13.536415380478028
-0.010711267605633802,-0.01352199214053325,left_cubic_extension,-10.711267605633802,-13.52199214053325
-0.010619718309859154,-0.013507566722883503,left_cubic_extension,-10.619718309859154,-13.507566722883503
-0.010528169014084507,-0.01349313912483495,left_cubic_extension,-10.528169014084506,-13.493139124834949
-0.010436619718309859,-0.013478709343693749,left_cubic_extension,-10.436619718309858,-13.47870934369375
-0.010345070422535211,-0.013464277376766058,left_cubic_extension,-10.345070422535212,-13.464277376766058
-0.010253521126760562,-0.013449843221358039,left_cubic_extension,-10.253521126760562,-13.449843221358039
-0.010161971830985914,-0.013435406874775851,left_cubic_extension,-10.161971830985914,-13.43540687477585
-0.010070422535211267,-0.013420968334325656,left_cubic_extension,-10.070422535211266,-13.420968334325655
-0.009978873239436619,-0.01340652759731361,left_cubic_extension,-9.978873239436618,-13.406527597313609
-0.009887323943661971,-0.013392084661045875,left_cubic_extension,-9.887323943661972,-13.392084661045875
-0.009795774647887324,-0.01337763952282861,left_cubic_extension,-9.795774647887324,-13.377639522828611
-0.009704225352112676,-0.013363192179967976,left_cubic_extension,-9.704225352112676,-13.363192179967976
-0.009612676056338029,-0.013348742629770132,left_cubic_extension,-9.612676056338028,-13.348742629770133
-0.00952112676056338,-0.013334290869541236,left_cubic_extension,-9.52112676056338,-13.334290869541237
-0.009429577464788732,-0.013319836896587452,left_cubic_extension,-9.429577464788732,-13.319836896587452
-0.009338028169014084,-0.013305380708214937,left_cubic_extension,-9.338028169014084,-13.305380708214937
-0.009246478873239436,-0.01329092230172985,left_cubic_extension,-9.246478873239436,-13.29092230172985
-0.009154929577464789,-0.013276461674438352,left_cubic_extension,-9.154929577464788,-13.276461674438352
-0.00906338028169014,-0.013261998823646605,left_cubic_extension,-9.06338028169014,-13.261998823646605
-0.008971830985915492,-0.013247533746660765,left_cubic_extension,-8.971830985915492,-13.247533746660766
-0.008880281690140844,-0.013233066440786994,left_cubic_extension,-8.880281690140844,-13.233066440786994
-0.008788732394366196,-0.01321859690333145,left_cubic_extension,-8.788732394366196,-13.21859690333145
-0.008697183098591549,-0.013204125131600294,left_cubic_extension,-8.697183098591548,-13.204125131600295
-0.008605633802816901,-0.013189651122899687,left_cubic_extension,-8.605633802816902,-13.189651122899686
-0.008514084507042254,-0.013175174874535787,left_cubic_extension,-8.514084507042254,-13.175174874535788
-0.008422535211267606,-0.013160696383814754,left_cubic_extension,-8.422535211267606,-13.160696383814754
