z_m,z_cm,B_T,B_mT,beam_radius_mm,s_local,eta_design,v_design_m_s,delta_eff_MHz
0.000000000000000000e+00,0.000000000000000000e+00,-1.181869780994021339e-02,-1.181869780994021291e+01,5.935483870967741993e+00,1.062783874897725189e+00,5.152182387262548291e-01,3.053249965316502994e+02,0.000000000000000000e+00
9.249999999999999867e-05,9.249999999999999542e-03,-1.180384777987937735e-02,-1.180384777987937817e+01,5.936080645161290192e+00,1.062570195149579177e+00,5.151680159290388250e-01,3.052420872976706505e+02,0.000000000000000000e+00
1.849999999999999973e-04,1.849999999999999908e-02,-1.178899516334126242e-02,-1.178899516334126218e+01,5.936677419354838392e+00,1.062356579837552051e+00,5.151177978743287644e-01,3.051591636231243001e+02,0.000000000000000000e+00
2.774999999999999689e-04,2.774999999999999689e-02,-1.177413995807995682e-02,-1.177413995807995661e+01,5.937274193548386592e+00,1.062143028935737865e+00,5.150675845622137983e-01,3.050762254954720447e+02,0.000000000000000000e+00
3.699999999999999947e-04,3.699999999999999817e-02,-1.175928216184674024e-02,-1.175928216184674113e+01,5.937870967741935679e+00,1.061929542418244221e+00,5.150173759927831885e-01,3.049932729021591058e+02,0.000000000000000000e+00
4.625000000000000205e-04,4.624999999999999944e-02,-1.174442177239007692e-02,-1.174442177239007634e+01,5.938467741935483879e+00,1.061716120259192264e+00,5.149671721661256418e-01,3.049103058306148455e+02,0.000000000000000000e+00
5.549999999999999378e-04,5.549999999999999378e-02,-1.172955878745558962e-02,-1.172955878745558955e+01,5.939064516129032967e+00,1.061502762432714908e+00,5.149169730823297542e-01,3.048273242682529371e+02,0.000000000000000000e+00
6.474999999999999636e-04,6.475000000000000200e-02,-1.171469320478610472e-02,-1.171469320478610499e+01,5.939661290322581166e+00,1.061289468912959277e+00,5.148667787414837882e-01,3.047443282024713085e+02,0.000000000000000000e+00
7.399999999999999894e-04,7.399999999999999634e-02,-1.169982502212159152e-02,-1.169982502212159226e+01,5.940258064516128478e+00,1.061076239674084931e+00,5.148165891436754515e-01,3.046613176206519711e+02,0.000000000000000000e+00
8.325000000000000152e-04,8.325000000000000455e-02,-1.168495423719917437e-02,-1.168495423719917525e+01,5.940854838709677566e+00,1.060863074690264085e+00,5.147664042889922298e-01,3.045782925101611340e+02,0.000000000000000000e+00
9.250000000000000409e-04,9.249999999999999889e-02,-1.167008084775318297e-02,-1.167008084775318366e+01,5.941451612903225765e+00,1.060649973935682944e+00,5.147162241775216085e-01,3.044952528583492040e+02,0.000000000000000000e+00
1.017499999999999958e-03,1.017499999999999932e-01,-1.165520485151503791e-02,-1.165520485151503749e+01,5.942048387096773965e+00,1.060436937384539702e+00,5.146660488093501851e-01,3.044121986525505577e+02,0.000000000000000000e+00
1.109999999999999876e-03,1.109999999999999876e-01,-1.164032624621335298e-02,-1.164032624621335366e+01,5.942645161290323053e+00,1.060223965011045211e+00,5.146158781845648900e-01,3.043291298800837694e+02,0.000000000000000000e+00
1.202500000000000010e-03,1.202499999999999958e-01,-1.162544502957385539e-02,-1.162544502957385539e+01,5.943241935483871252e+00,1.060011056789424755e+00,5.145657123032516544e-01,3.042460465282513837e+02,0.000000000000000000e+00
1.294999999999999927e-03,1.295000000000000040e-01,-1.161056119931942396e-02,-1.161056119931942376e+01,5.943838709677419452e+00,1.059798212693915609e+00,5.145155511654969649e-01,3.041629485843399721e+02,0.000000000000000000e+00
1.387500000000000061e-03,1.387500000000000122e-01,-1.159567475317005956e-02,-1.159567475317006036e+01,5.944435483870967651e+00,1.059585432698767482e+00,5.144653947713860864e-01,3.040798360356200760e+02,0.000000000000000000e+00
1.479999999999999979e-03,1.479999999999999927e-01,-1.158078568884291122e-02,-1.158078568884291037e+01,5.945032258064515851e+00,1.059372716778243406e+00,5.144152431210042842e-01,3.039967088693463211e+02,0.000000000000000000e+00
1.572499999999999896e-03,1.572500000000000009e-01,-1.156589400405222574e-02,-1.156589400405222534e+01,5.945629032258064051e+00,1.059160064906620624e+00,5.143650962144371563e-01,3.039135670727570755e+02,0.000000000000000000e+00
1.665000000000000030e-03,1.665000000000000091e-01,-1.155099969650939459e-02,-1.155099969650939506e+01,5.946225806451613138e+00,1.058947477058187037e+00,5.143149540517689688e-01,3.038304106330747913e+02,0.000000000000000000e+00
1.757499999999999948e-03,1.757499999999999896e-01,-1.153610276392288102e-02,-1.153610276392288014e+01,5.946822580645161338e+00,1.058734953207245422e+00,5.142648166330843207e-01,3.037472395375056635e+02,0.000000000000000000e+00
1.850000000000000082e-03,1.849999999999999978e-01,-1.152120320399828597e-02,-1.152120320399828657e+01,5.947419354838709538e+00,1.058522493328110103e+00,5.142146839584672557e-01,3.036640537732398002e+02,0.000000000000000000e+00
1.942499999999999999e-03,1.942500000000000060e-01,-1.150630101443831516e-02,-1.150630101443831599e+01,5.948016129032258625e+00,1.058310097395108951e+00,5.141645560280015959e-01,3.035808533274511092e+02,0.000000000000000000e+00
2.034999999999999917e-03,2.034999999999999865e-01,-1.149139619294274779e-02,-1.149139619294274794e+01,5.948612903225806825e+00,1.058097765382582267e+00,5.141144328417708298e-01,3.034976381872972979e+02,0.000000000000000000e+00
2.127500000000000051e-03,2.127499999999999947e-01,-1.147648873720848520e-02,-1.147648873720848606e+01,5.949209677419355025e+00,1.057885497264883679e+00,5.140643143998582243e-01,3.034144083399198735e+02,0.000000000000000000e+00
2.219999999999999751e-03,2.219999999999999751e-01,-1.146157864492949353e-02,-1.146157864492949408e+01,5.949806451612903224e+00,1.057673293016379690e+00,5.140142007023466020e-01,3.033311637724440857e+02,0.000000000000000000e+00
2.312499999999999886e-03,2.312499999999999833e-01,-1.144666591379683157e-02,-1.144666591379683140e+01,5.950403225806451424e+00,1.057461152611449684e+00,5.139640917493184524e-01,3.032479044719787566e+02,0.000000000000000000e+00
2.405000000000000020e-03,2.404999999999999916e-01,-1.143175054149860904e-02,-1.143175054149860870e+01,5.950999999999999623e+00,1.057249076024485035e+00,5.139139875408561542e-01,3.031646304256165081e+02,0.000000000000000000e+00
2.497500000000000154e-03,2.497500000000000275e-01,-1.141683252572003697e-02,-1.141683252572003759e+01,5.951596774193548711e+00,1.057037063229890661e+00,5.138638880770414197e-01,3.030813416204335908e+02,0.000000000000000000e+00
2.589999999999999854e-03,2.590000000000000080e-01,-1.140191186414340335e-02,-1.140191186414340407e+01,5.952193548387096911e+00,1.056825114202085025e+00,5.138137933579562944e-01,3.029980380434899416e+02,0.000000000000000000e+00
2.682499999999999989e-03,2.682499999999999885e-01,-1.138698855444802115e-02,-1.138698855444802049e+01,5.952790322580645110e+00,1.056613228915497693e+00,5.137637033836817135e-01,3.029147196818289558e+02,0.000000000000000000e+00
2.775000000000000123e-03,2.775000000000000244e-01,-1.137206259431027509e-02,-1.137206259431027533e+01,5.953387096774194198e+00,1.056401407344571997e+00,5.137136181542987234e-01,3.028313865224776578e+02,0.000000000000000000e+00
