z_mm,B_sim_mT
-20.0,2.101686816840491
-19.75,2.1314381421125383
-19.5,2.161415772629787
-19.25,2.191618741210284
-19.0,2.2220459995245703
-18.75,2.2526964167311103
-18.5,2.283568778135957
-18.25,2.3146617838790653
-18.0,2.3459740476497153
-17.75,2.377504095433537
-17.5,2.4092503642937393
-17.25,2.4412112011891685
-17.0,2.473384861831911
-16.75,2.5057695095871573
-16.5,2.538363214418168
-16.25,2.5711639518791625
-16.0,2.6041696021590597
-15.75,2.6373779491789793
-15.5,2.67078667974652
-15.25,2.7043933827697977
-15.0,2.7381955485343146
-14.75,2.7721905680457253
-14.5,2.806375732441598
-14.25,2.8407482324752706
-14.0,2.875305158074955
-13.75,2.910043497981176
-13.5,2.9449601394657106
-13.25,2.9800518681351336
-13.0,3.01531536782207
-12.75,3.0507472205672537
-12.5,3.086343906695439
-12.25,3.1221018049882083
-12.0,3.158017192956625
-11.75,3.194086247216694
-11.5,3.23030504397048
-11.25,3.266669559595687
-11.0,3.303175671346425
-10.75,3.339819158167815
-10.5,3.3765957016269605
-10.25,3.4135008869627264
-10.0,3.4505302042566712
-9.75,3.4876790497273134
-9.5,3.524942727149812
-9.25,3.562316449402986
-9.0,3.5997953401454623
-8.75,3.6373744356225366
-8.5,3.675048686605215
-8.25,3.7128129604626703
-8.0,3.75066204336921
-7.75,3.788590642646588
-7.5,3.8265933892423276
-7.25,3.864664840344509
-7.0,3.902799482133188
-6.75,3.9409917326684387
-6.5,3.9792359449147465
-6.25,4.017526409901189
-6.0,4.0558573600166365
-5.75,4.09422297243889
-5.5,4.132617372696434
-5.25,4.1710346383611325
-5.0,4.209468802870046
-4.75,4.247913859474048
-4.5,4.286363765310842
-4.25,4.324812445599504
-4.0,4.363253797953492
-3.75,4.40168169680866
-3.5,4.440089997962598
-3.25,4.478472543221235
-3.0,4.516823165148367
-2.75,4.555135691913512
-2.5,4.593403952233044
-2.25,4.631621780399467
-2.0,4.669783021393194
-1.75,4.70788153607101
-1.5,4.745911206425137
-1.25,4.783865940906419
-1.0,4.821739679805001
-0.75,4.859526400681544
-0.5,4.897220123841805
-0.25,4.934814917847117
0.0,4.972304905053135
0.25,5.009684267168979
0.5,5.046947250828697
0.75,5.084088173166786
1.0,5.121101427389356
1.25,5.157981488332357
1.5,5.194722917998168
1.75,5.231320371061719
2.0,5.2677686003372495
2.25,5.304062462196659
2.5,5.340196921930486
2.75,5.376167059042372
3.0,5.4119680724679595
3.25,5.447595285709146
3.5,5.483044151874634
3.75,5.518310258617846
4.0,5.553389332963264
4.25,5.588277246012421
4.5,5.622970017520875
4.75,5.657463820337671
5.0,5.691754984698957
5.25,5.725840002367568
5.5,5.759715530610783
5.75,5.793378396008421
6.0,5.826825598084055
6.25,5.86005431275206
6.5,5.89306189557383
6.75,5.92584588481657
7.0,5.958404004308618
7.25,5.990734166085482
7.5,6.022834472821213
7.75,6.054703220040143
8.0,6.0863388981043824
8.25,6.117740193972994
8.5,6.148905992729037
8.75,6.17983537887132
9.0,6.210527637368001
9.25,6.240982254469728
9.5,6.2711989182804535
9.75,6.301177519084592
10.0,6.330918149429524
10.25,6.360421103963175
10.5,6.389686879026656
10.75,6.418716172002554
11.0,6.447509880419966
11.25,6.476069100817739
11.5,6.504395127368011
11.75,6.532489450262421
12.0,6.560353753864047
12.25,6.587989914628352
12.5,6.615399998797017
12.75,6.642586259868923
13.0,6.669551135852899
13.25,6.696297246307369
13.5,6.7228273891722745
13.75,6.749144537399147
14.0,6.77525183538546
14.25,6.801152595219758
14.5,6.826850292744367
14.75,6.852348563442796
15.0,6.877651198159133
15.25,6.902762138657126
15.5,6.927685473026684
15.75,6.952425430945916
16.0,6.976986378806882
16.25,7.001372814713393
16.5,7.025589363359449
16.75,7.04964077079683
17.0,7.07353189910063
17.25,7.097267720941421
17.5,7.120853314072905
17.75,7.1442938557438955
18.0,7.167594617043388
18.25,7.190760957187576
18.5,7.213798317757571
18.75,7.236712216896483
19.0,7.259508243474515
19.25,7.28219205123054
19.5,7.304769352898569
19.75,7.327245914327352
20.0,7.349627548601207
20.25,7.371920110169979
20.5,7.3941294889958975
20.75,7.416261604724852
21.0,7.438322400889395
21.25,7.460317839150652
21.5,7.482253893585881
21.75,7.5041365450284525
22.0,7.5259717754665285
22.25,7.547765562506597
22.5,7.5695238739077295
22.75,7.5912526621921
23.0,7.612957859337125
23.25,7.634645371554233
23.5,7.656321074159009
23.75,7.677990806537201
24.0,7.699660367210739
24.25,7.721335509007754
24.5,7.743021934340068
24.75,7.7647252905917155
25.0,7.786451165621349
25.25,7.80820508338146
25.5,7.82999249965694
25.75,7.851818797925165
26.0,7.8736892853397045
26.25,7.895609188839357
26.5,7.917583651384067
26.75,7.939617728318952
27.0,7.9617163838675475
27.25,7.983884487755056
27.5,8.0061268119622
27.75,8.028448027610182
28.0,8.050852701976837
28.25,8.073345295644113
28.5,8.095930159776696
28.75,8.118611533531435
29.0,8.141393541597187
29.25,8.164280191864378
29.5,8.187275373223555
29.75,8.210382853492089
30.0,8.23360627746796
30.25,8.256949165109612
30.5,8.28041490984055
30.75,8.304006776977518
31.0,8.327727902280774
31.25,8.351581290625099
31.5,8.375569814789982
31.75,8.399696214367419
32.0,8.423963094785792
32.25,8.448372926448057
32.5,8.472928043982698
32.75,8.497630645605668
33.0,8.522482792591614
33.25,8.547486408852718
33.5,8.572643280623312
33.75,8.597955056248763
34.0,8.623423246076587
34.25,8.649049222448427
34.5,8.674834219791006
34.75,8.700779334804457
35.0,8.726885526746365
35.25,8.753153617810012
35.5,8.779584293595109
35.75,8.806178103669572
36.0,8.832935462220856
36.25,8.8598566487953
36.5,8.886941809124158
36.75,8.914190956034824
37.0,8.941603970446069
37.25,8.969180602445807
37.5,8.9969204724503
37.75,9.024823072443494
38.0,9.05288776729533
38.25,9.081113796157906
38.5,9.10950027393839
38.75,9.138046192847625
39.0,9.166750424023403
