stack_index,x_mm,n_magnets_each_side,total_magnets_pair,orientation,d_stack_center_mm,nearest_magnet_center_mm
1,9.467000000000002,8,16,1,56.23713527562483,45.73713527562483
2,22.4,12,24,1,86.87131753588035,70.37131753588035
3,35.333,12,24,1,88.8865341891747,72.3865341891747
4,48.267,14,28,1,83.43816947310857,63.938169473108566
5,61.2,17,34,1,72.96084347443409,48.960843474434085
6,74.133,13,26,1,79.92221686933489,61.92221686933488
7,87.067,16,32,1,76.87052286510773,54.37052286510773
8,100.0,19,38,1,81.14178893005247,54.14178893005248
9,112.933,21,42,1,75.86766073129816,45.867660731298166
10,125.867,23,46,1,79.64607066776529,46.64607066776529
11,138.8,26,52,1,85.51204832147984,48.01204832147984
12,151.733,29,58,1,81.84167051831422,39.84167051831422
13,164.667,32,64,1,82.10257593037639,35.60257593037638
14,177.6,37,74,1,89.74984128973836,35.749841289738356
15,190.533,44,88,1,86.35008864837393,21.850088648373927
