z_mm,B_sim_mT
-20.0,1.0201147108222137
-19.75,1.051344951641075
-19.5,1.0830756261361196
-19.25,1.1153101551476001
-19.0,1.1480518030081188
-18.75,1.1813036686113603
-18.5,1.2150686762572838
-18.25,1.249349566276681
-18.000000000000004,1.2841488854386753
-17.750000000000004,1.3194689771454717
-17.5,1.3553119714194202
-17.25,1.3916797746882745
-17.0,1.4285740593753777
-16.75,1.465996253302399
-16.5,1.5039475289131885
-16.25,1.542428792328294
-16.0,1.5814406722407253
-15.75,1.6209835086646103
-15.5,1.6610573415495031
-15.25,1.7016618992742891
-15.0,1.7427965870357853
-14.75,1.784460475148445
-14.5,1.8266522872727855
-14.25,1.869370388591543
-14.0,1.9126127739538838
-13.75,1.9563770560094043
-13.5,2.0006604533550774
-13.250000000000002,2.0454597787197617
-13.000000000000002,2.090771427212343
-12.750000000000002,2.1365913646611427
-12.5,2.182915116073643
-12.25,2.229737754247234
-12.0,2.277053888563098
-11.75,2.324857653996985
-11.5,2.3731427003821253
-11.25,2.4219021819610287
-11.0,2.471128747264475
-10.75,2.52081452935743
-10.5,2.5709511364931
-10.25,2.6215296432177033
-10.0,2.672540581969935
-9.75,2.7239739352203336
-9.5,2.77581912819701
-9.25,2.8280650222453176
-9.000000000000002,2.8806999088700795
-8.75,2.933711504509943
-8.5,2.9870869460941827
-8.25,3.0408127874331
-8.0,3.0948749964935076
-7.75,3.149258953611416
-7.5,3.2039494506940613
-7.249999999999999,3.258930691463619
-6.999999999999999,3.314186292794691
-6.750000000000001,3.3696992871973994
-6.500000000000001,3.4254521264973063
-6.25,3.481426686762601
-6.0,3.5376042745279883
-5.75,3.59396563436342
-5.5,3.650490957834259
-5.249999999999999,3.707159893897701
-5.000000000000001,3.7639515607781484
-4.750000000000001,3.8208445593618725
-4.500000000000001,3.877816988148624
-4.25,3.9348464597949406
-4.0,3.9919101192805275
-3.75,4.048984663725577
-3.4999999999999996,4.106046363883065
-3.2499999999999996,4.163071087325715
-2.999999999999999,4.220034323343022
-2.749999999999999,4.27691120955876
-2.4999999999999987,4.3336765602744896
-2.2499999999999987,4.390304896539066
-1.9999999999999982,4.446770477938568
-1.7500000000000016,4.503047336095308
-1.5000000000000013,4.559109309858149
-1.250000000000001,4.614930082160328
-1.0000000000000009,4.67048321851416
-0.7500000000000007,4.725742207105449
-0.5000000000000004,4.780680500443358
-0.2500000000000002,4.835271558514571
0.0,4.889488893383435
0.2500000000000002,4.943306115172531
0.5000000000000004,4.996696979350893
0.7500000000000007,5.0496354352498685
1.0000000000000009,5.102095675719431
1.250000000000001,5.1540521878305725
1.5000000000000013,5.205479804522411
1.7500000000000016,5.2563537570858045
1.9999999999999982,5.306649728368508
2.2499999999999987,5.35634390658057
2.4999999999999987,5.40541303957237
2.749999999999999,5.453834489451924
2.999999999999999,5.501586287402531
3.2499999999999996,5.54864718855666
3.4999999999999996,5.59499672677736
3.75,5.640615269194138
4.0,5.68548407033651
4.25,5.729585325705262
4.500000000000001,5.772902224618556
4.750000000000001,5.815419002168177
5.000000000000001,5.857120990119376
5.250000000000001,5.897994666587079
5.500000000000002,5.938027704320661
5.750000000000002,5.977209017430098
6.000000000000002,6.01552880638688
6.249999999999998,6.052978601134944
6.499999999999999,6.089551302148887
6.749999999999999,6.12524121927955
6.999999999999999,6.160044108230537
7.249999999999999,6.193957204513064
7.5,6.22697925473123
7.75,6.259110545054726
8.0,6.290352926741667
8.25,6.320709838580214
8.5,6.350186326124098
8.75,6.37878905760407
9.000000000000002,6.406526336404482
9.250000000000002,6.433408110001646
9.500000000000002,6.459445975268495
9.750000000000002,6.484653180057926
9.999999999999998,6.509044620985521
10.249999999999998,6.532636837340358
10.499999999999998,6.555448001061298
10.75,6.577497902724223
11.0,6.598807933494319
11.25,6.619401063005704
11.5,6.639301813139078
11.75,6.658536227676207
12.0,6.677131837818177
12.25,6.695117623562214
12.5,6.712523970939768
12.750000000000002,6.729382625126037
13.000000000000002,6.74572663943879
13.250000000000002,6.761590320251486
13.500000000000002,6.777009167853068
13.750000000000002,6.792019813293848
14.000000000000002,6.806659951263955
14.250000000000002,6.820968269057853
14.500000000000002,6.834984371685457
14.750000000000004,6.84874870319748
15.000000000000004,6.862302464299838
15.250000000000004,6.875687526339419
15.500000000000004,6.888946341751094
15.750000000000004,6.90212185106404
16.000000000000004,6.915257386573643
16.249999999999996,6.9283965727944015
16.499999999999996,6.941583223818647
16.749999999999996,6.954861237716125
16.999999999999996,6.968274488120353
17.249999999999996,6.981866713159574
17.499999999999996,6.995681401902598
17.75,7.0097616785036685
18.0,7.02415018424502
18.25,7.038888957691636
18.5,7.054019313189628
18.75,7.069581717957625
19.0,7.085615668039876
19.25,7.102159563410071
19.5,7.119250582536334
19.75,7.136924556740497
20.0,7.1552158447081435
20.25,7.1741572075304525
20.5,7.193779684683904
20.75,7.214112471379722
21.0,7.235182797740881
21.25,7.257015810290931
21.5,7.279634456264696
21.750000000000004,7.303059371276906
22.000000000000004,7.327308770909386
22.250000000000004,7.352398346801389
22.500000000000004,7.378341167849779
22.750000000000004,7.405147587146087
23.000000000000004,7.432825155295008
23.250000000000004,7.461378540774266
23.500000000000004,7.490809458006708
23.750000000000004,7.521116603823363
23.999999999999996,7.55229560299923
24.249999999999996,7.584338963541497
24.499999999999996,7.617236042402652
24.749999999999996,7.650973022277457
24.999999999999996,7.685532900122935
25.249999999999996,7.720895488013633
25.5,7.757037426910429
25.75,7.793932213879377
26.0,7.831550243247356
26.25,7.869858862123694
26.5,7.908822440650873
26.75,7.948402457273337
27.0,7.988557599231222
27.25,8.02924387839586
27.5,8.070414762466287
27.75,8.112021321441654
28.0,8.154012389173523
28.25,8.196334739685826
28.5,8.238933277829146
28.75,8.28175124371146
29.0,8.324730430220662
29.25,8.367811412825828
29.500000000000004,8.410933790716811
29.750000000000004,8.454036438215574
30.000000000000004,8.4970577652704
30.250000000000004,8.539935985726446
30.500000000000004,8.582609391955742
30.750000000000004,8.625016634327046
31.000000000000004,8.667097003904079
31.25,8.708790716679712
31.5,8.750039197586641
31.75,8.79078536247182
32.0,8.830973896185261
32.25,8.870551524913514
32.5,8.909467280885949
32.75,8.947672757598253
33.0,8.985122353732708
33.25,9.021773504008978
33.5,9.057586895272586
33.75,9.09252666621991
34.0,9.126560589268534
34.25,9.159660233208267
34.5,9.191801105410992
34.75,9.222962772534052
35.0,9.25312895882129
35.25,9.282287621285946
35.50000000000001,9.310431001247894
35.75000000000001,9.337555651892686
36.00000000000001,9.363662441718214
36.25000000000001,9.38875653393514
36.50000000000001,9.412847342086017
36.75000000000001,9.435948462343664
37.00000000000001,9.458077583138975
37.25000000000001,9.479256372949731
37.50000000000001,9.499510347252953
37.75000000000001,9.518868715802109
38.00000000000001,9.5373642115348
38.25000000000001,9.555032902545411
38.50000000000001,9.571913988668722
38.75000000000001,9.58804958431416
39.00000000000001,9.603484489265071
39.25000000000001,9.618265949212727
39.50000000000001,9.632443407830815
39.75000000000001,9.646068252212636
39.99999999999999,9.65919355349095
40.24999999999999,9.671873804439528
40.49999999999999,9.684164655817561
40.74999999999999,9.69612265316334
40.99999999999999,9.707804975674495
41.24999999999999,9.719269178728814
41.49999999999999,9.73057294150491
41.74999999999999,9.741773821056803
41.99999999999999,9.752929014082726
42.24999999999999,9.764095127508405
42.49999999999999,9.775327958879632
42.74999999999999,9.786682287430809
43.0,9.798211676566668
43.25,9.809968288364939
43.5,9.822002710580502
43.75,9.834363796507546
44.0,9.847098517936864
44.25,9.860251831332084
44.5,9.873866557241795
44.75,9.887983272865997
45.0,9.902640217604656
45.25,9.91787321133491
45.5,9.933715585091514
45.75,9.950198123762679
46.0,9.967349020360848
46.25,9.98519384138506
46.5,10.003755502757928
46.75,10.02305425579591
47.0,10.043107682656021
47.25,10.063930700694643
47.5,10.085535575174442
47.75,10.107931939762551
48.0,10.13112682427679
48.25,10.155124689155464
48.5,10.179927466150337
48.75,10.205534604769642
49.0,10.2319431240289
49.25,10.25914766910024
49.5,10.287140572485423
49.75,10.315911919372866
50.0,10.345449616874353
50.25,10.375739466871368
50.5,10.40676524223428
50.75,10.438508766208816
51.00000000000001,10.47094999479295
51.25000000000001,10.504067101953073
51.50000000000001,10.537836567551055
51.75000000000001,10.572233267872356
52.00000000000001,10.607230568660516
52.24999999999999,10.642800420574023
52.49999999999999,10.678913456988454
52.74999999999999,10.715539094068903
52.99999999999999,10.752645633036343
53.24999999999999,10.790200364545413
53.49999999999999,10.828169675081588
53.74999999999999,10.866519155272197
53.99999999999999,10.905213709988997
54.24999999999999,10.944217670100148
54.49999999999999,10.983494905707069
54.74999999999999,11.023008940676966
54.99999999999999,11.06272306825533
55.24999999999999,11.102600467515394
55.49999999999999,11.142604320372962
55.74999999999999,11.182697928866826
55.99999999999999,11.222844832376754
56.24999999999999,11.263008924424115
56.49999999999999,11.303154568674415
56.74999999999999,11.34324671373755
56.99999999999999,11.383251006340277
57.24999999999999,11.423133902427368
57.49999999999999,11.462862775733019
57.74999999999999,11.502406023353073
57.99999999999999,11.541733167841667
58.24999999999999,11.580814955353308
58.5,11.619623449353465
58.75,11.658132119427384
59.0,11.69631592472852
59.25,11.734151391624234
59.5,11.771616685117891
59.75,11.808691673651927
60.0,11.845357986927265
60.25,11.881599066408912
60.5,11.91740020822596
60.75,11.952748598216722
61.0,11.98763333891471
61.25,12.022045468319432
61.5,12.055977970346024
61.75,12.08942577689984
62.0,12.122385761575016
62.25,12.154856725029763
62.5,12.186839372144677
