stack_index,x_mm,n_magnets_each_side,total_magnets_pair,orientation,d_stack_center_mm,nearest_magnet_center_mm
1,9.467000000000002,7,14,1,42.91519148642395,33.91519148642395
2,22.4,3,6,1,51.2439448576797,48.24394485767969
3,35.333,1,2,1,24.733319885798526,24.733319885798526
4,48.267,2,4,1,32.461145873192514,30.961145873192514
5,61.2,2,4,1,29.61012319425683,28.110123194256825
6,74.133,4,8,1,37.666977195688816,33.166977195688816
7,87.067,5,10,1,38.53651040876512,32.53651040876512
8,100.0,6,12,1,41.68173094376873,34.18173094376873
9,112.933,7,14,1,41.61178893516911,32.6117889351691
10,125.867,7,14,1,42.465184581206465,33.465184581206465
11,138.8,8,16,1,41.046996985926896,30.546996985926896
12,151.733,9,18,1,44.16282591943065,32.162825919430645
13,164.667,10,20,1,41.625600644903464,28.125600644903464
14,177.6,11,22,1,43.43021905114342,28.430219051143414
15,190.533,14,28,1,39.67914734623338,20.179147346233382
