stack_index,x_mm,n_magnets_each_side,total_magnets_pair,orientation,d_stack_center_mm,nearest_magnet_center_mm
1,9.467000000000002,4,8,1,35.52123105756048,31.021231057560477
2,22.4,3,6,1,51.905667136820284,48.905667136820284
3,35.333,1,2,1,23.27806472644415,23.27806472644415
4,48.267,4,8,1,61.159997940458275,56.65999794045827
5,61.2,6,12,1,35.91556263082618,28.41556263082618
6,74.133,5,10,1,69.20608326724081,63.20608326724081
7,87.067,5,10,1,34.54033568988484,28.540335689884845
8,100.0,6,12,1,48.776855126137065,41.276855126137065
9,112.933,7,14,1,38.59515220360448,29.59515220360448
10,125.867,7,14,1,45.3155854592815,36.3155854592815
11,138.8,8,16,1,40.28571322441534,29.78571322441534
12,151.733,9,18,1,44.44767423818134,32.44767423818134
13,164.667,10,20,1,41.61519523269488,28.11519523269488
14,177.6,11,22,1,43.457060734636315,28.457060734636315
15,190.533,14,28,1,39.6840694483103,20.184069448310293
