stack_index,x_mm,n_magnets_each_side,total_magnets_pair,orientation,d_stack_center_mm,nearest_magnet_center_mm
1,9.467000000000002,4,8,1,35.34113114694612,30.84113114694612
2,22.4,3,6,1,53.670453506152796,50.67045350615279
3,35.333,1,2,1,23.547365675980476,23.547365675980476
4,48.267,4,8,1,50.390045812760135,45.89004581276014
5,61.2,4,8,1,31.936221517040632,27.436221517040632
6,74.133,7,14,1,70.30474430670175,61.30474430670175
7,87.067,5,10,1,34.16669814264009,28.16669814264009
8,100.0,6,12,1,48.76229132099283,41.26229132099283
9,112.933,7,14,1,38.6840696140418,29.684069614041803
10,125.867,7,14,1,45.549027866958816,36.549027866958816
11,138.8,8,16,1,39.99929219607261,29.499292196072606
12,151.733,9,18,1,44.861026732542406,32.861026732542406
13,164.667,10,20,1,41.437465570043216,27.937465570043216
14,177.6,11,22,1,43.56902435438161,28.569024354381614
15,190.533,14,28,1,39.65180448137076,20.15180448137076
