z_mm,B_sim_mT
-20.0,-0.2144270492865521
-19.75,-0.20709269027155477
-19.5,-0.19951863170195858
-19.25,-0.19169970924671664
-19.0,-0.18363070991181832
-18.75,-0.1753063750821214
-18.5,-0.16672140380501024
-18.25,-0.1578704563248612
-18.000000000000004,-0.14874815787726656
-17.750000000000004,-0.13934910275191106
-17.5,-0.12966785863289199
-17.25,-0.11969897122513481
-17.0,-0.10943696917537467
-16.75,-0.09887636929594357
-16.5,-0.08801168209931766
-16.25,-0.07683741765104733
-16.0,-0.06534809174830032
-15.75,-0.05353823243078819
-15.5,-0.04140238683033283
-15.25,-0.02893512836473924
-15.0,-0.016131064280977582
-14.75,-0.002984843551949826
-14.5,0.010508834869712474
-14.25,0.024355213438253708
-14.0,0.03855946704024112
-13.75,0.05312669365834305
-13.5,0.06806190467411379
-13.250000000000002,0.08337001481170264
-13.000000000000002,0.09905583172577155
-12.750000000000002,0.11512404523835772
-12.5,0.13157921623096502
-12.25,0.14842576519983466
-12.0,0.16566796048409782
-11.75,0.18330990617836165
-11.5,0.20135552974325668
-11.25,0.21980856932951534
-11.0,0.2386725608333112
-10.75,0.2579508247028323
-10.5,0.2776464525184078
-10.25,0.29776229337090415
-10.0,0.318300940065632
-9.75,0.3392647151815491
-9.5,0.36065565701818175
-9.25,0.38247550546537473
-9.000000000000002,0.40472568783367835
-8.75,0.4274073046859599
-8.5,0.4505211157135564
-8.25,0.474067525703078
-8.0,0.49804657064269026
-7.75,0.5224579040194276
-7.5,0.5473007833617319
-7.249999999999999,0.5725740570839993
-6.999999999999999,0.5982761516923791
-6.750000000000001,0.6244050594134415
-6.500000000000001,0.6509583263095318
-6.25,0.6779330409466746
-6.0,0.7053258236827151
-5.75,0.7331328166450232
-5.5,0.7613496744684213
-5.249999999999999,0.7899715558650937
-5.000000000000001,0.8189931160989912
-4.750000000000001,0.8484085004376686
-4.500000000000001,0.8782113386545674
-4.25,0.9083947406543955
-4.0,0.9389512932935293
-3.75,0.9698730584661136
-3.4999999999999996,1.0011515725249027
-3.2499999999999996,1.0327778471036682
-2.999999999999999,1.0647423714053612
-2.749999999999999,1.097035116016947
-2.4999999999999987,1.1296455383081228
-2.2499999999999987,1.1625625894667733
-1.9999999999999982,1.1957747232191682
-1.7500000000000016,1.2292699062774677
-1.5000000000000013,1.263035630551086
-1.250000000000001,1.2970589271519477
-1.0000000000000009,1.3313263822165453
-0.7500000000000007,1.3658241545601328
-0.5000000000000004,1.4005379951702586
-0.2500000000000002,1.4354532685382884
0.0,1.4705549758185454
0.2500000000000002,1.5058277797953272
0.5000000000000004,1.5412560316283133
0.7500000000000007,1.5768237993368508
1.0000000000000009,1.6125148979733945
1.250000000000001,1.64831292142593
1.5000000000000013,1.6842012757787603
1.7500000000000016,1.7201632141504717
1.9999999999999982,1.7561818729175058
2.2499999999999987,1.7922403092214374
2.4999999999999987,1.8283215396479673
2.749999999999999,1.8644085799559642
2.999999999999999,1.90048448572547
3.2499999999999996,1.9365323937848253
3.4999999999999996,1.9725355642687707
3.75,2.00847742315182
4.0,2.044341605094411
4.25,2.080111996433335
4.500000000000001,2.1157727781428974
4.750000000000001,2.1513084685891974
5.000000000000001,2.186703965896856
5.250000000000001,2.2219445897456507
5.500000000000002,2.2570161224136496
5.750000000000002,2.291904848883926
6.000000000000002,2.3265975958334595
6.249999999999998,2.3610817693257258
6.499999999999999,2.3953453910324654
6.749999999999999,2.429377132815403
6.999999999999999,2.463166349505147
7.249999999999999,2.496703109722055
7.5,2.5299782245925746
