stack_index,x_mm,n_magnets_each_side,total_magnets_pair,orientation,d_stack_center_mm,nearest_magnet_center_mm
1,9.467000000000002,1,2,1,30.856960203,30.856960203
2,22.4,1,2,1,32.39357689900001,32.39357689900001
3,35.333,1,2,1,27.576302728,27.576302728
4,48.267,1,2,1,27.414945605,27.414945605
5,61.2,2,4,1,30.144717553000003,28.644717553
6,74.133,2,4,1,30.358736268,28.858736268
7,87.067,3,6,1,31.806804505000002,28.806804505000002
8,100.0,3,6,1,31.11157676,28.11157676
9,112.933,3,6,1,30.011590218,27.011590218
10,125.867,4,8,1,31.480386619000004,26.980386619000004
11,138.8,4,8,1,30.56621661,26.06621661
12,151.733,5,10,1,32.138308327000004,26.138308327
13,164.667,6,12,1,32.106585432,24.606585432000006
14,177.6,6,12,1,31.423908699999995,23.923908699999995
15,190.533,7,14,1,27.460978467,18.460978467
