stack_index,x_mm,n_magnets_each_side,magnet_thickness_mm,half_thickness_correction_mm,nearest_magnet_center_distance_mm,upper_stack_lower_surface_y_mm,lower_stack_upper_surface_y_mm,inner_surface_distance_to_axis_mm,distance_formula
1,9.467000000,1,3.000000000,1.500000000,30.856960203,29.356960203,-29.356960203,29.356960203,nearest center distance - 1.5 mm
2,22.400000000,1,3.000000000,1.500000000,32.393576899,30.893576899,-30.893576899,30.893576899,nearest center distance - 1.5 mm
3,35.333000000,1,3.000000000,1.500000000,27.576302728,26.076302728,-26.076302728,26.076302728,nearest center distance - 1.5 mm
4,48.267000000,1,3.000000000,1.500000000,27.414945605,25.914945605,-25.914945605,25.914945605,nearest center distance - 1.5 mm
5,61.200000000,2,3.000000000,1.500000000,28.644717553,27.144717553,-27.144717553,27.144717553,nearest center distance - 1.5 mm
6,74.133000000,2,3.000000000,1.500000000,28.858736268,27.358736268,-27.358736268,27.358736268,nearest center distance - 1.5 mm
7,87.067000000,3,3.000000000,1.500000000,28.806804505,27.306804505,-27.306804505,27.306804505,nearest center distance - 1.5 mm
8,100.000000000,3,3.000000000,1.500000000,28.111576760,26.611576760,-26.611576760,26.611576760,nearest center distance - 1.5 mm
9,112.933000000,3,3.000000000,1.500000000,27.011590218,25.511590218,-25.511590218,25.511590218,nearest center distance - 1.5 mm
10,125.867000000,4,3.000000000,1.500000000,26.980386619,25.480386619,-25.480386619,25.480386619,nearest center distance - 1.5 mm
11,138.800000000,4,3.000000000,1.500000000,26.066216610,24.566216610,-24.566216610,24.566216610,nearest center distance - 1.5 mm
12,151.733000000,5,3.000000000,1.500000000,26.138308327,24.638308327,-24.638308327,24.638308327,nearest center distance - 1.5 mm
13,164.667000000,6,3.000000000,1.500000000,24.606585432,23.106585432,-23.106585432,23.106585432,nearest center distance - 1.5 mm
14,177.600000000,6,3.000000000,1.500000000,23.923908700,22.423908700,-22.423908700,22.423908700,nearest center distance - 1.5 mm
15,190.533000000,7,3.000000000,1.500000000,18.460978467,16.960978467,-16.960978467,16.960978467,nearest center distance - 1.5 mm
