z_mm,B_sim_mT
-20.0,-2.140315117174401
-19.75,-2.1872106670949645
-19.5,-2.2350508413143775
-19.25,-2.283850500488206
-19.0,-2.333624497944784
-18.75,-2.3843876632425585
-18.5,-2.4361547847169587
-18.25,-2.488940590979094
-18.000000000000004,-2.5427597313282377
-17.750000000000004,-2.597626755039997
-17.5,-2.6535560894919024
-17.25,-2.7105620170884293
-17.0,-2.76865865094753
-16.75,-2.8278599093113264
-16.5,-2.8881794886441194
-16.25,-2.949630835381708
-16.0,-3.0122271162970162
-15.75,-3.075981187448263
-15.5,-3.140905561677408
-15.25,-3.207012374628385
-15.0,-3.274313349256673
-14.75,-3.3428197588041404
-14.5,-3.4125423882158237
-14.25,-3.4834914939782986
-14.0,-3.5556767623628294
-13.75,-3.6291072660602635
-13.5,-3.7037914191989265
-13.250000000000002,-3.779736930741493
-13.000000000000002,-3.856950756261986
-12.750000000000002,-3.9354390481097345
-12.5,-4.015207103973317
-12.25,-4.096259313864247
-12.0,-4.178599105547412
-11.75,-4.262228888453142
-11.5,-4.347149996114293
-11.25,-4.433362627180589
-11.0,-4.520865785072376
-10.75,-4.6096572163459415
-10.5,-4.699733347853759
-10.25,-4.791089222794213
-10.0,-4.883718435757838
-9.75,-4.977613066889648
-9.5,-5.072763615300596
-9.25,-5.1691589318751845
-9.000000000000002,-5.266786151636657
-8.75,-5.36563062584636
-8.5,-5.465675854029224
-8.25,-5.566903416133399
-8.0,-5.669292905048228
-7.75,-5.77282185972148
-7.5,-5.877465699133448
-7.249999999999999,-5.983197657402605
-6.999999999999999,-6.0899887203143175
-6.750000000000001,-6.19780756358119
-6.500000000000001,-6.30662049316014
-6.25,-6.416391387967689
-6.0,-6.527081645350887
-5.75,-6.638650129686307
-5.5,-6.751053124494102
-5.249999999999999,-6.864244288467381
-5.000000000000001,-6.978174615829365
-4.750000000000001,-7.092792401441619
-4.500000000000001,-7.208043211095757
-4.25,-7.323869857428506
-4.0,-7.440212381905247
