magnet_id,stack_index,stack_side,magnet_index_on_side,longitudinal_x_mm,transverse_z_mm,distance_to_axis_mm,moment_orientation,magnet_diameter_mm,magnet_thickness_mm
1,1,upper,1,9.467000000000002,26.83871164614412,26.83871164614412,-1,8.0,3.0
2,1,upper,2,9.467000000000002,29.83871164614412,29.83871164614412,-1,8.0,3.0
3,1,upper,3,9.467000000000002,32.83871164614412,32.83871164614412,-1,8.0,3.0
4,1,upper,4,9.467000000000002,35.83871164614412,35.83871164614412,-1,8.0,3.0
5,1,upper,5,9.467000000000002,38.83871164614412,38.83871164614412,-1,8.0,3.0
6,1,upper,6,9.467000000000002,41.83871164614412,41.83871164614412,-1,8.0,3.0
7,1,upper,7,9.467000000000002,44.83871164614412,44.83871164614412,-1,8.0,3.0
8,1,lower,1,9.467000000000002,-26.83871164614412,26.83871164614412,-1,8.0,3.0
9,1,lower,2,9.467000000000002,-29.83871164614412,29.83871164614412,-1,8.0,3.0
10,1,lower,3,9.467000000000002,-32.83871164614412,32.83871164614412,-1,8.0,3.0
11,1,lower,4,9.467000000000002,-35.83871164614412,35.83871164614412,-1,8.0,3.0
12,1,lower,5,9.467000000000002,-38.83871164614412,38.83871164614412,-1,8.0,3.0
13,1,lower,6,9.467000000000002,-41.83871164614412,41.83871164614412,-1,8.0,3.0
14,1,lower,7,9.467000000000002,-44.83871164614412,44.83871164614412,-1,8.0,3.0
15,2,upper,1,22.4,62.304706923371874,62.304706923371874,-1,8.0,3.0
16,2,upper,2,22.4,65.30470692337187,65.30470692337187,-1,8.0,3.0
17,2,upper,3,22.4,68.30470692337187,68.30470692337187,-1,8.0,3.0
18,2,upper,4,22.4,71.30470692337187,71.30470692337187,-1,8.0,3.0
19,2,upper,5,22.4,74.30470692337188,74.30470692337188,-1,8.0,3.0
20,2,lower,1,22.4,-62.304706923371874,62.304706923371874,-1,8.0,3.0
21,2,lower,2,22.4,-65.30470692337187,65.30470692337187,-1,8.0,3.0
22,2,lower,3,22.4,-68.30470692337187,68.30470692337187,-1,8.0,3.0
23,2,lower,4,22.4,-71.30470692337187,71.30470692337187,-1,8.0,3.0
24,2,lower,5,22.4,-74.30470692337188,74.30470692337188,-1,8.0,3.0
25,3,upper,1,35.333,92.27222641608276,92.27222641608276,-1,8.0,3.0
26,3,upper,2,35.333,95.27222641608277,95.27222641608277,-1,8.0,3.0
27,3,upper,3,35.333,98.27222641608277,98.27222641608277,-1,8.0,3.0
28,3,lower,1,35.333,-92.27222641608276,92.27222641608276,-1,8.0,3.0
29,3,lower,2,35.333,-95.27222641608277,95.27222641608277,-1,8.0,3.0
30,3,lower,3,35.333,-98.27222641608277,98.27222641608277,-1,8.0,3.0
31,4,upper,1,48.267,36.74693710974816,36.74693710974816,-1,8.0,3.0
32,4,upper,2,48.267,39.74693710974817,39.74693710974817,-1,8.0,3.0
33,4,lower,1,48.267,-36.74693710974816,36.74693710974816,-1,8.0,3.0
34,4,lower,2,48.267,-39.74693710974817,39.74693710974817,-1,8.0,3.0
35,5,upper,1,61.2,100.0,100.0,-1,8.0,3.0
36,5,lower,1,61.2,-100.0,100.0,-1,8.0,3.0
37,7,upper,1,87.067,34.96593751327771,34.96593751327771,1,8.0,3.0
38,7,lower,1,87.067,-34.96593751327771,34.96593751327771,1,8.0,3.0
39,8,upper,1,100.0,45.55450782664334,45.55450782664334,1,8.0,3.0
40,8,upper,2,100.0,48.55450782664334,48.55450782664334,1,8.0,3.0
41,8,upper,3,100.0,51.554507826643345,51.554507826643345,1,8.0,3.0
42,8,lower,1,100.0,-45.55450782664334,45.55450782664334,1,8.0,3.0
43,8,lower,2,100.0,-48.55450782664334,48.55450782664334,1,8.0,3.0
44,8,lower,3,100.0,-51.554507826643345,51.554507826643345,1,8.0,3.0
45,9,upper,1,112.933,41.64133670434926,41.64133670434926,1,8.0,3.0
46,9,upper,2,112.933,44.64133670434926,44.64133670434926,1,8.0,3.0
47,9,upper,3,112.933,47.64133670434926,47.64133670434926,1,8.0,3.0
48,9,upper,4,112.933,50.64133670434926,50.64133670434926,1,8.0,3.0
49,9,lower,1,112.933,-41.64133670434926,41.64133670434926,1,8.0,3.0
50,9,lower,2,112.933,-44.64133670434926,44.64133670434926,1,8.0,3.0
51,9,lower,3,112.933,-47.64133670434926,47.64133670434926,1,8.0,3.0
52,9,lower,4,112.933,-50.64133670434926,50.64133670434926,1,8.0,3.0
53,10,upper,1,125.867,43.70455149487591,43.70455149487591,1,8.0,3.0
54,10,upper,2,125.867,46.7045514948759,46.7045514948759,1,8.0,3.0
55,10,upper,3,125.867,49.7045514948759,49.7045514948759,1,8.0,3.0
56,10,upper,4,125.867,52.70455149487591,52.70455149487591,1,8.0,3.0
57,10,upper,5,125.867,55.70455149487591,55.70455149487591,1,8.0,3.0
58,10,upper,6,125.867,58.70455149487591,58.70455149487591,1,8.0,3.0
59,10,lower,1,125.867,-43.70455149487591,43.70455149487591,1,8.0,3.0
60,10,lower,2,125.867,-46.7045514948759,46.7045514948759,1,8.0,3.0
61,10,lower,3,125.867,-49.7045514948759,49.7045514948759,1,8.0,3.0
62,10,lower,4,125.867,-52.70455149487591,52.70455149487591,1,8.0,3.0
63,10,lower,5,125.867,-55.70455149487591,55.70455149487591,1,8.0,3.0
64,10,lower,6,125.867,-58.70455149487591,58.70455149487591,1,8.0,3.0
65,11,upper,1,138.8,36.88280526616367,36.88280526616367,1,8.0,3.0
66,11,upper,2,138.8,39.88280526616367,39.88280526616367,1,8.0,3.0
67,11,upper,3,138.8,42.88280526616367,42.88280526616367,1,8.0,3.0
68,11,upper,4,138.8,45.88280526616367,45.88280526616367,1,8.0,3.0
69,11,upper,5,138.8,48.88280526616368,48.88280526616368,1,8.0,3.0
70,11,upper,6,138.8,51.88280526616368,51.88280526616368,1,8.0,3.0
71,11,upper,7,138.8,54.88280526616367,54.88280526616367,1,8.0,3.0
72,11,upper,8,138.8,57.88280526616368,57.88280526616368,1,8.0,3.0
73,11,lower,1,138.8,-36.88280526616367,36.88280526616367,1,8.0,3.0
74,11,lower,2,138.8,-39.88280526616367,39.88280526616367,1,8.0,3.0
75,11,lower,3,138.8,-42.88280526616367,42.88280526616367,1,8.0,3.0
76,11,lower,4,138.8,-45.88280526616367,45.88280526616367,1,8.0,3.0
77,11,lower,5,138.8,-48.88280526616368,48.88280526616368,1,8.0,3.0
78,11,lower,6,138.8,-51.88280526616368,51.88280526616368,1,8.0,3.0
79,11,lower,7,138.8,-54.88280526616367,54.88280526616367,1,8.0,3.0
80,11,lower,8,138.8,-57.88280526616368,57.88280526616368,1,8.0,3.0
81,12,upper,1,151.733,43.6197989137004,43.6197989137004,1,8.0,3.0
