stack_index,x_mm,n_magnets_each_side,total_magnets_pair,orientation,d_stack_center_mm,nearest_magnet_center_mm,target_B_mT,simulated_B_mT,residual_mT,magnetization_axis
1,9.467000000000002,7,14,-1,35.83871164614412,26.83871164614412,-10.285038896462735,-12.045962109025872,-1.7609232125631364,-z
2,22.4,5,10,-1,68.30470692337187,62.304706923371874,-8.141372848150672,-8.801316605092609,-0.6599437569419376,-z
3,35.333,3,6,-1,95.27222641608277,92.27222641608276,-5.934571759448127,-5.182676444912968,0.751895314535159,-z
4,48.267,2,4,-1,38.24693710974817,36.74693710974816,-3.65503347356105,-3.6560075185870957,-0.000974045026045766,-z
5,61.2,1,2,-1,100.0,100.0,-1.2914092145801261,-1.7074007695998694,-0.4159915550197434,-z
6,74.133,0,0,1,99.99996375910204,101.49996375910204,1.1712986001807637,0.9835405595327901,-0.1877580406479736,+z
7,87.067,1,2,1,34.96593751327771,34.96593751327771,3.7525139906520506,3.872110221836791,0.11959623118474022,+z
8,100.0,3,6,1,48.55450782664334,45.55450782664334,6.477558727377343,6.495345045811005,0.017786318433661054,+z
9,112.933,4,8,1,46.14133670434926,41.64133670434926,9.382370672942159,9.31855514585266,-0.06381552708950057,+z
10,125.867,6,12,1,51.20455149487591,43.70455149487591,12.519474940045516,12.546595150134609,0.027120210089092225,+z
11,138.8,8,16,1,47.38280526616367,36.88280526616367,15.97016255103545,15.974251481283206,0.004088930247756611,+z
12,151.733,10,20,1,57.1197989137004,43.6197989137004,19.87637701313255,19.824544348259785,-0.05183266487276614,+z
13,164.667,13,26,1,49.25937771823276,31.259377718232763,24.528340742936663,24.57219246838094,0.043851725444278566,+z
14,177.6,15,30,1,54.66228727394572,33.66228727394573,30.75744499888381,30.83876631798138,0.08132131909757354,+z
15,190.533,21,42,1,50.082389477828954,20.082389477828958,41.97622008512346,36.16462251612623,-5.811597568997226,+z
