z_mm,B_target_mT,B_sim_mT,residual_mT,in_active_0_185mm
-13.0,4.4625398393585,1.2278702142644877,-3.234669625094012,False
-12.6703125,4.473912197197624,1.2872055832710978,-3.186706613926526,False
-12.340625,4.485848197266123,1.3479848192722257,-3.137863377993898,False
-12.010937499999999,4.498337925411384,1.4102173713307375,-3.088120554080647,False
-11.681249999999999,4.511371591669098,1.4739110274167855,-3.0374605642523127,False
-11.351562499999998,4.524939529326022,1.5390717936750815,-2.98586773565094,False
-11.021875,4.539032193985173,1.605703771005908,-2.9333284229792653,False
-10.6921875,4.5536401626348475,1.6738090293205694,-2.879831133314278,False
-10.3625,4.5687541327212,1.743387479882362,-2.825366652838838,False
-10.032812499999999,4.584382303837898,1.81443674619692,-2.7699455576409777,False
-9.703125,4.600497542441072,1.8869520339706018,-2.7135455084704705,False
-9.3734375,4.617090916382675,1.9609260007124119,-2.6561649156702627,False
-9.04375,4.634153610129148,2.036348625613143,-2.597804984516005,False
-8.714062499999999,4.651676923851424,2.113207080394874,-2.5384698434565496,False
-8.384374999999999,4.669652272517649,2.191485601884016,-2.478166670633633,False
-8.0546875,4.688071184989797,2.2711653671212377,-2.4169058178685585,False
-7.725,4.706925303123394,2.352224371881389,-2.3547009312420055,False
-7.395312499999999,4.726221305546423,2.4346373135350565,-2.291583992011366,False
-7.065624999999999,4.745935517049171,2.51837547924002,-2.227560037809151,False
-6.735937499999999,4.766059926748183,2.6034066405048653,-2.1626532862433177,False
-6.406249999999999,4.786586633025597,2.6896949552172154,-2.0968916778083817,False
-6.0765625,4.807507842646369,2.777200878274875,-2.030306964371494,False
-5.746874999999999,4.828815869879097,2.8658810819982343,-1.9629347878808625,False
-5.417187499999999,4.850503135619821,2.955688387535783,-1.8948147480840383,False
-5.0875,4.872562166519293,3.046571708500284,-1.825990458019009,False
-4.7578125,4.894998319060635,3.1384760080900262,-1.7565223109706085,False
-4.428125,4.917791054463422,3.2313422709562167,-1.6864487835072055,False
-4.098437499999999,4.940933224197861,3.325107491073262,-1.6158257331245993,False
-3.7687499999999994,4.964417781876046,3.4197046768518735,-1.5447131050241727,False
-3.4390624999999995,4.988237782396606,3.5150628747047383,-1.4731749076918677,False
-3.109374999999999,5.012386381093297,3.6111072122300363,-1.4012791688632602,False
-2.779687499999999,5.036856832885846,3.70775896211802,-1.3290978707678254,False
-2.449999999999999,5.061642491435492,3.804935627809938,-1.2567068636255536,False
-2.120312499999999,5.086747574970822,3.9025510518456374,-1.1841965231251845,False
-1.7906249999999988,5.1121543779660445,4.000515547726035,-1.1116388302400093,False
-1.4609374999999987,5.137856557163595,4.098736055988952,-1.0391205011746427,False
-1.1312499999999985,5.1638478645494965,4.19711632505136,-0.9667315394981356,False
