magnet_id,stack_index,stack_side,magnet_index_on_side,longitudinal_x_mm,transverse_z_mm,distance_to_axis_mm,moment_orientation,magnet_diameter_mm,magnet_thickness_mm
1,1,upper,1,9.467000000000002,29.421762682389755,29.421762682389755,1,8.0,3.0
2,1,upper,2,9.467000000000002,32.421762682389755,32.421762682389755,1,8.0,3.0
3,1,upper,3,9.467000000000002,35.42176268238976,35.42176268238976,1,8.0,3.0
4,1,lower,1,9.467000000000002,-29.421762682389755,29.421762682389755,1,8.0,3.0
5,1,lower,2,9.467000000000002,-32.421762682389755,32.421762682389755,1,8.0,3.0
6,1,lower,3,9.467000000000002,-35.42176268238976,35.42176268238976,1,8.0,3.0
7,2,upper,1,22.4,53.00160734962076,53.00160734962076,1,8.0,3.0
8,2,upper,2,22.4,56.00160734962076,56.00160734962076,1,8.0,3.0
9,2,upper,3,22.4,59.00160734962077,59.00160734962077,1,8.0,3.0
10,2,lower,1,22.4,-53.00160734962076,53.00160734962076,1,8.0,3.0
11,2,lower,2,22.4,-56.00160734962076,56.00160734962076,1,8.0,3.0
12,2,lower,3,22.4,-59.00160734962077,59.00160734962077,1,8.0,3.0
13,3,upper,1,35.333,35.25995629450467,35.25995629450467,1,8.0,3.0
14,3,upper,2,35.333,38.25995629450467,38.25995629450467,1,8.0,3.0
15,3,upper,3,35.333,41.25995629450467,41.25995629450467,1,8.0,3.0
16,3,lower,1,35.333,-35.25995629450467,35.25995629450467,1,8.0,3.0
17,3,lower,2,35.333,-38.25995629450467,38.25995629450467,1,8.0,3.0
18,3,lower,3,35.333,-41.25995629450467,41.25995629450467,1,8.0,3.0
19,4,upper,1,48.267,35.05386328620633,35.05386328620633,1,8.0,3.0
20,4,upper,2,48.267,38.05386328620633,38.05386328620633,1,8.0,3.0
21,4,upper,3,48.267,41.05386328620633,41.05386328620633,1,8.0,3.0
22,4,upper,4,48.267,44.05386328620634,44.05386328620634,1,8.0,3.0
23,4,lower,1,48.267,-35.05386328620633,35.05386328620633,1,8.0,3.0
24,4,lower,2,48.267,-38.05386328620633,38.05386328620633,1,8.0,3.0
25,4,lower,3,48.267,-41.05386328620633,41.05386328620633,1,8.0,3.0
26,4,lower,4,48.267,-44.05386328620634,44.05386328620634,1,8.0,3.0
27,5,upper,1,61.2,39.311663141568225,39.311663141568225,1,8.0,3.0
28,5,upper,2,61.2,42.31166314156823,42.31166314156823,1,8.0,3.0
29,5,upper,3,61.2,45.31166314156823,45.31166314156823,1,8.0,3.0
30,5,upper,4,61.2,48.31166314156823,48.31166314156823,1,8.0,3.0
31,5,lower,1,61.2,-39.311663141568225,39.311663141568225,1,8.0,3.0
32,5,lower,2,61.2,-42.31166314156823,42.31166314156823,1,8.0,3.0
33,5,lower,3,61.2,-45.31166314156823,45.31166314156823,1,8.0,3.0
34,5,lower,4,61.2,-48.31166314156823,48.31166314156823,1,8.0,3.0
35,6,upper,1,74.133,34.159920562289585,34.159920562289585,1,8.0,3.0
36,6,upper,2,74.133,37.159920562289585,37.159920562289585,1,8.0,3.0
37,6,upper,3,74.133,40.159920562289585,40.159920562289585,1,8.0,3.0
38,6,upper,4,74.133,43.159920562289585,43.159920562289585,1,8.0,3.0
39,6,upper,5,74.133,46.159920562289585,46.159920562289585,1,8.0,3.0
40,6,lower,1,74.133,-34.159920562289585,34.159920562289585,1,8.0,3.0
41,6,lower,2,74.133,-37.159920562289585,37.159920562289585,1,8.0,3.0
42,6,lower,3,74.133,-40.159920562289585,40.159920562289585,1,8.0,3.0
43,6,lower,4,74.133,-43.159920562289585,43.159920562289585,1,8.0,3.0
44,6,lower,5,74.133,-46.159920562289585,46.159920562289585,1,8.0,3.0
45,7,upper,1,87.067,36.703094548106435,36.703094548106435,1,8.0,3.0
46,7,upper,2,87.067,39.70309454810643,39.70309454810643,1,8.0,3.0
47,7,upper,3,87.067,42.703094548106435,42.703094548106435,1,8.0,3.0
48,7,upper,4,87.067,45.703094548106435,45.703094548106435,1,8.0,3.0
49,7,upper,5,87.067,48.703094548106435,48.703094548106435,1,8.0,3.0
50,7,upper,6,87.067,51.703094548106435,51.703094548106435,1,8.0,3.0
51,7,lower,1,87.067,-36.703094548106435,36.703094548106435,1,8.0,3.0
52,7,lower,2,87.067,-39.70309454810643,39.70309454810643,1,8.0,3.0
53,7,lower,3,87.067,-42.703094548106435,42.703094548106435,1,8.0,3.0
54,7,lower,4,87.067,-45.703094548106435,45.703094548106435,1,8.0,3.0
55,7,lower,5,87.067,-48.703094548106435,48.703094548106435,1,8.0,3.0
56,7,lower,6,87.067,-51.703094548106435,51.703094548106435,1,8.0,3.0
57,8,upper,1,100.0,33.95653066373135,33.95653066373135,1,8.0,3.0
58,8,upper,2,100.0,36.95653066373135,36.95653066373135,1,8.0,3.0
59,8,upper,3,100.0,39.95653066373134,39.95653066373134,1,8.0,3.0
60,8,upper,4,100.0,42.95653066373135,42.95653066373135,1,8.0,3.0
61,8,upper,5,100.0,45.95653066373134,45.95653066373134,1,8.0,3.0
62,8,upper,6,100.0,48.95653066373134,48.95653066373134,1,8.0,3.0
63,8,lower,1,100.0,-33.95653066373135,33.95653066373135,1,8.0,3.0
64,8,lower,2,100.0,-36.95653066373135,36.95653066373135,1,8.0,3.0
65,8,lower,3,100.0,-39.95653066373134,39.95653066373134,1,8.0,3.0
66,8,lower,4,100.0,-42.95653066373135,42.95653066373135,1,8.0,3.0
67,8,lower,5,100.0,-45.95653066373134,45.95653066373134,1,8.0,3.0
68,8,lower,6,100.0,-48.95653066373134,48.95653066373134,1,8.0,3.0
