stack_index,x_mm,n_magnets_each_side,total_magnets_pair,orientation,d_stack_center_mm,nearest_magnet_center_mm,target_B_mT,simulated_B_mT,residual_mT,magnetization_axis
1,9.467000000000002,3,6,1,32.421762682389755,29.421762682389755,6.202754808104286,6.813945621565114,0.6111908134608284,+z
2,22.4,3,6,1,56.00160734962076,53.00160734962076,7.53833627734825,7.524834004660845,-0.013502272687404213,+z
3,35.333,3,6,1,38.25995629450467,35.25995629450467,8.926440437514271,8.786241790498066,-0.14019864701620732,+z
4,48.267,4,8,1,39.55386328620633,35.05386328620633,10.373886476622866,10.477231159111314,0.1033446824884477,+z
5,61.2,4,8,1,43.81166314156823,39.311663141568225,11.888773251302034,11.813835651822428,-0.07493759947960546,+z
6,74.133,5,10,1,40.159920562289585,34.159920562289585,13.481664355215962,13.524153491693255,0.04248913647729273,+z
7,87.067,6,12,1,44.203094548106435,36.703094548106435,15.16610932606004,15.136582610366009,-0.02952671569403202,+z
8,100.0,6,12,1,41.45653066373134,33.95653066373135,16.959706628367258,16.97267337646678,0.012966748099519504,+z
9,112.933,7,14,1,42.74771771191613,33.747717711916124,18.88707476284166,18.88333552185221,-0.003739240989449749,+z
10,125.867,7,14,1,41.931199208406,32.93119920840599,20.98369749397077,20.974736151887356,-0.008961342083411983,+z
11,138.8,8,16,1,41.807558866740344,31.30755886674034,23.303532419936523,23.32479521897736,0.021262799040834557,+z
12,151.733,9,18,1,43.4577314657557,31.4577314657557,25.93834808627074,25.896307923901777,-0.04204016236896216,+z
13,164.667,10,20,1,42.011075148166164,28.511075148166164,29.067554962388897,29.103137700817822,0.035582738428924926,+z
14,177.6,11,22,1,43.186416842984244,28.186416842984244,33.15712076252805,33.20998747156742,0.05286670903936752,+z
15,190.533,14,28,1,39.7657740328054,20.2657740328054,39.417750909377176,34.936725943246046,-4.481024966131134,+z
