z_m,z_cm,B_T,B_mT
0.000000000000000000e+00,0.000000000000000000e+00,-1.182138510959715867e-04,-1.182138510959715866e-01
6.688963210702341886e-04,6.688963210702342232e-02,-4.780060010134331563e-05,-4.780060010134331433e-02
1.337792642140468377e-03,1.337792642140468446e-01,2.272836833060966810e-05,2.272836833060966691e-02
2.006688963210702566e-03,2.006688963210702670e-01,9.337362659360762263e-05,9.337362659360762263e-02
2.675585284280936754e-03,2.675585284280936893e-01,1.641357518158696098e-04,1.641357518158696183e-01
3.344481605351170943e-03,3.344481605351171116e-01,2.350153259151276076e-04,2.350153259151276097e-01
4.013377926421405131e-03,4.013377926421405339e-01,3.060129356544754849e-04,3.060129356544754597e-01
4.682274247491639320e-03,4.682274247491639563e-01,3.771291726990151638e-04,3.771291726990151361e-01
5.351170568561873508e-03,5.351170568561873786e-01,4.483646336733867446e-04,4.483646336733867477e-01
6.020066889632107697e-03,6.020066889632107454e-01,5.197199202201873520e-04,5.197199202201873147e-01
6.688963210702341886e-03,6.688963210702342232e-01,5.911956390592311861e-04,5.911956390592312260e-01
7.357859531772576074e-03,7.357859531772575901e-01,6.627924020477469211e-04,6.627924020477469202e-01
8.026755852842810263e-03,8.026755852842810679e-01,7.345108262415026923e-04,7.345108262415026568e-01
8.695652173913045319e-03,8.695652173913045457e-01,8.063515339568151424e-04,8.063515339568151363e-01
9.364548494983278640e-03,9.364548494983279125e-01,8.783151528335878628e-04,8.783151528335878533e-01
1.003344481605351196e-02,1.003344481605351168e+00,9.504023158992776959e-04,9.504023158992777054e-01
1.070234113712374702e-02,1.070234113712374757e+00,1.022613661633837252e-03,1.022613661633837268e+00
1.137123745819398207e-02,1.137123745819398124e+00,1.094949834035730245e-03,1.094949834035730207e+00
1.204013377926421539e-02,1.204013377926421491e+00,1.167411482688912637e-03,1.167411482688912594e+00
1.270903010033444872e-02,1.270903010033444858e+00,1.239999262830897980e-03,1.239999262830898008e+00
1.337792642140468377e-02,1.337792642140468446e+00,1.312713835421885607e-03,1.312713835421885689e+00
1.404682274247491883e-02,1.404682274247491813e+00,1.385555867214994380e-03,1.385555867214994352e+00
1.471571906354515215e-02,1.471571906354515180e+00,1.458526030827560476e-03,1.458526030827560493e+00
1.538461538461538547e-02,1.538461538461538547e+00,1.531625004813627362e-03,1.531625004813627289e+00
1.605351170568562053e-02,1.605351170568562136e+00,1.604853473737546206e-03,1.604853473737546166e+00
1.672240802675585558e-02,1.672240802675585503e+00,1.678212128248787564e-03,1.678212128248787627e+00
1.739130434782609064e-02,1.739130434782609091e+00,1.751701665157927908e-03,1.751701665157927801e+00
1.806020066889632222e-02,1.806020066889632236e+00,1.825322787513879727e-03,1.825322787513879774e+00
1.872909698996655728e-02,1.872909698996655825e+00,1.899076204682349821e-03,1.899076204682349722e+00
1.939799331103679234e-02,1.939799331103679192e+00,1.972962632425606655e-03,1.972962632425606655e+00
2.006688963210702392e-02,2.006688963210702337e+00,2.046982792983489344e-03,2.046982792983489396e+00
2.073578595317725898e-02,2.073578595317725703e+00,2.121137415155818513e-03,2.121137415155818662e+00
2.140468227424749403e-02,2.140468227424749514e+00,2.195427234386084121e-03,2.195427234386084336e+00
2.207357859531772909e-02,2.207357859531772881e+00,2.269852992846548619e-03,2.269852992846548734e+00
2.274247491638796415e-02,2.274247491638796248e+00,2.344415439524772347e-03,2.344415439524772271e+00
2.341137123745819573e-02,2.341137123745819615e+00,2.419115330311538432e-03,2.419115330311538248e+00
2.408026755852843079e-02,2.408026755852842982e+00,2.493953428090246553e-03,2.493953428090246671e+00
2.474916387959866584e-02,2.474916387959866793e+00,2.568930502827844117e-03,2.568930502827844187e+00
2.541806020066889743e-02,2.541806020066889715e+00,2.644047331667223697e-03,2.644047331667223499e+00
2.608695652173913249e-02,2.608695652173913082e+00,2.719304699021209484e-03,2.719304699021209526e+00
2.675585284280936754e-02,2.675585284280936893e+00,2.794703396668136216e-03,2.794703396668136275e+00
2.742474916387960260e-02,2.742474916387960260e+00,2.870244223849037057e-03,2.870244223849037102e+00
2.809364548494983765e-02,2.809364548494983627e+00,2.945927987366463857e-03,2.945927987366463885e+00
2.876254180602006924e-02,2.876254180602006993e+00,3.021755501685070757e-03,3.021755501685070566e+00
2.943143812709030430e-02,2.943143812709030360e+00,3.097727589033827129e-03,3.097727589033826945e+00
3.010033444816053935e-02,3.010033444816053727e+00,3.173845079510061087e-03,3.173845079510061229e+00
3.076923076923077094e-02,3.076923076923077094e+00,3.250108811185283691e-03,3.250108811185283830e+00
3.143812709030100599e-02,3.143812709030100461e+00,3.326519630212848924e-03,3.326519630212848799e+00
3.210702341137124105e-02,3.210702341137124272e+00,3.403078390937455504e-03,3.403078390937455566e+00
3.277591973244147611e-02,3.277591973244147638e+00,3.479785956006644070e-03,3.479785956006644199e+00
3.344481605351171116e-02,3.344481605351171005e+00,3.556643196484165267e-03,3.556643196484165159e+00
3.411371237458194622e-02,3.411371237458194816e+00,3.633650991965403469e-03,3.633650991965403421e+00
3.478260869565218127e-02,3.478260869565218183e+00,3.710810230694816698e-03,3.710810230694816525e+00
3.545150501672240939e-02,3.545150501672241106e+00,3.788121809685480752e-03,3.788121809685480734e+00
3.612040133779264445e-02,3.612040133779264472e+00,3.865586634840758370e-03,3.865586634840758151e+00
3.678929765886287950e-02,3.678929765886287839e+00,3.943205621078139413e-03,3.943205621078139433e+00
3.745819397993311456e-02,3.745819397993311650e+00,4.020979692455306682e-03,4.020979692455306953e+00
3.812709030100334961e-02,3.812709030100335017e+00,4.098909782298505895e-03,4.098909782298505888e+00
3.879598662207358467e-02,3.879598662207358384e+00,4.176996833333225002e-03,4.176996833333224579e+00
3.946488294314381973e-02,3.946488294314382195e+00,4.255241797817210618e-03,4.255241797817210347e+00
4.013377926421404784e-02,4.013377926421404673e+00,4.333645637676019312e-03,4.333645637676019291e+00
4.080267558528428290e-02,4.080267558528428040e+00,4.412209324640923788e-03,4.412209324640923747e+00
4.147157190635451796e-02,4.147157190635451407e+00,4.490933840389480132e-03,4.490933840389479847e+00
4.214046822742475301e-02,4.214046822742475662e+00,4.569820176688602596e-03,4.569820176688602409e+00
4.280936454849498807e-02,4.280936454849499029e+00,4.648869335540372315e-03,4.648869335540372738e+00
4.347826086956522312e-02,4.347826086956522396e+00,4.728082329330508815e-03,4.728082329330509204e+00
4.414715719063545818e-02,4.414715719063545762e+00,4.807460180979641375e-03,4.807460180979641784e+00
4.481605351170569324e-02,4.481605351170569129e+00,4.887003924097451345e-03,4.887003924097450991e+00
4.548494983277592829e-02,4.548494983277592496e+00,4.966714603139665493e-03,4.966714603139665840e+00
4.615384615384615641e-02,4.615384615384615863e+00,5.046593273568093785e-03,5.046593273568094062e+00
4.682274247491639146e-02,4.682274247491639230e+00,5.126641002013688185e-03,5.126641002013688109e+00
4.749163879598662652e-02,4.749163879598662596e+00,5.206858866442698811e-03,5.206858866442698464e+00
4.816053511705686158e-02,4.816053511705685963e+00,5.287247956326039319e-03,5.287247956326039500e+00
4.882943143812709663e-02,4.882943143812709330e+00,5.367809372811964755e-03,5.367809372811964685e+00
4.949832775919733169e-02,4.949832775919733585e+00,5.448544228901984650e-03,5.448544228901984532e+00
5.016722408026756674e-02,5.016722408026756952e+00,5.529453649630336649e-03,5.529453649630336365e+00
5.083612040133779486e-02,5.083612040133779431e+00,5.610538772246842845e-03,5.610538772246842498e+00
5.150501672240802992e-02,5.150501672240802797e+00,5.691800746403459337e-03,5.691800746403459677e+00
5.217391304347826497e-02,5.217391304347826164e+00,5.773240734344415800e-03,5.773240734344415870e+00
5.284280936454850003e-02,5.284280936454850419e+00,5.854859911100176659e-03,5.854859911100176895e+00
5.351170568561873508e-02,5.351170568561873786e+00,5.936659464685249861e-03,5.936659464685249965e+00
5.418060200668897014e-02,5.418060200668897153e+00,6.018640596299943031e-03,6.018640596299943191e+00
5.484949832775920520e-02,5.484949832775920520e+00,6.100804520536135499e-03,6.100804520536135200e+00
5.551839464882944025e-02,5.551839464882943886e+00,6.183152465587288260e-03,6.183152465587288482e+00
5.618729096989967531e-02,5.618729096989967253e+00,6.265685673462580846e-03,6.265685673462581207e+00
5.685618729096990343e-02,5.685618729096990620e+00,6.348405400205516837e-03,6.348405400205517246e+00
5.752508361204013848e-02,5.752508361204013987e+00,6.431312916116932107e-03,6.431312916116931788e+00
5.819397993311037354e-02,5.819397993311037354e+00,6.514409505982616568e-03,6.514409505982616366e+00
5.886287625418060859e-02,5.886287625418060721e+00,6.597696469305556338e-03,6.597696469305556199e+00
5.953177257525084365e-02,5.953177257525084087e+00,6.681175120543113820e-03,6.681175120543113799e+00
6.020066889632107870e-02,6.020066889632107454e+00,6.764846789349010341e-03,6.764846789349010514e+00
6.086956521739131376e-02,6.086956521739131709e+00,6.848712820820480884e-03,6.848712820820480829e+00
6.153846153846154188e-02,6.153846153846154188e+00,6.932774575750501149e-03,6.932774575750500823e+00
6.220735785953177693e-02,6.220735785953177555e+00,7.017033430885465974e-03,7.017033430885465606e+00
6.287625418060201199e-02,6.287625418060200921e+00,7.101490779188225459e-03,7.101490779188225133e+00
6.354515050167225398e-02,6.354515050167225176e+00,7.186148030106801442e-03,7.186148030106801698e+00
6.421404682274248210e-02,6.421404682274248543e+00,7.271006609848767836e-03,7.271006609848767788e+00
6.488294314381271022e-02,6.488294314381271022e+00,7.356067961661663483e-03,7.356067961661663546e+00
6.555183946488295221e-02,6.555183946488295277e+00,7.441333546119316064e-03,7.441333546119316189e+00
6.622073578595318033e-02,6.622073578595317755e+00,7.526804841414474340e-03,7.526804841414474367e+00
6.688963210702342232e-02,6.688963210702342010e+00,7.612483343657822435e-03,7.612483343657822310e+00
6.755852842809365044e-02,6.755852842809365377e+00,7.698370567183505410e-03,7.698370567183505209e+00
6.822742474916389244e-02,6.822742474916389632e+00,7.784468044861444537e-03,7.784468044861444724e+00
6.889632107023412055e-02,6.889632107023412111e+00,7.870777328416489124e-03,7.870777328416489027e+00
6.956521739130436255e-02,6.956521739130436366e+00,7.957299988754763104e-03,7.957299988754763298e+00
7.023411371237459067e-02,7.023411371237458845e+00,8.044037616297228938e-03,8.044037616297229576e+00
7.090301003344481878e-02,7.090301003344482211e+00,8.130991821320807111e-03,8.130991821320806778e+00
7.157190635451506078e-02,7.157190635451506466e+00,8.218164234307137953e-03,8.218164234307138827e+00
7.224080267558528889e-02,7.224080267558528945e+00,8.305556506299337921e-03,8.305556506299337727e+00
7.290969899665553089e-02,7.290969899665553200e+00,8.393170309266818896e-03,8.393170309266819729e+00
7.357859531772575901e-02,7.357859531772575679e+00,8.481007336478520869e-03,8.481007336478521452e+00
7.424749163879600100e-02,7.424749163879599934e+00,8.569069302884736727e-03,8.569069302884736672e+00
7.491638795986622912e-02,7.491638795986623300e+00,8.657357945507768507e-03,8.657357945507769159e+00
7.558528428093645724e-02,7.558528428093645779e+00,8.745875023841699625e-03,8.745875023841700013e+00
7.625418060200669923e-02,7.625418060200670034e+00,8.834622320261512063e-03,8.834622320261512840e+00
7.692307692307692735e-02,7.692307692307692513e+00,8.923601640441826063e-03,8.923601640441825467e+00
7.759197324414716934e-02,7.759197324414716768e+00,9.012814813785576321e-03,9.012814813785576362e+00
7.826086956521739746e-02,7.826086956521740134e+00,9.102263693862839775e-03,9.102263693862839844e+00
7.892976588628763945e-02,7.892976588628764389e+00,9.191950158860167155e-03,9.191950158860167974e+00
