z_m,z_cm,B_T,B_mT
0.000000000000000000e+00,0.000000000000000000e+00,5.568588826622307680e-04,5.568588826622307142e-01
7.023411371237458329e-04,7.023411371237457679e-02,6.516364820379213314e-04,6.516364820379213496e-01
1.404682274247491666e-03,1.404682274247491536e-01,7.465713262091314487e-04,7.465713262091314695e-01
2.107023411371237390e-03,2.107023411371237442e-01,8.416642004334965116e-04,8.416642004334965455e-01
2.809364548494983332e-03,2.809364548494983072e-01,9.369158965262971810e-04,9.369158965262971428e-01
3.511705685618729273e-03,3.511705685618729533e-01,1.032327212937314467e-03,1.032327212937314442e+00
4.214046822742474781e-03,4.214046822742474885e-01,1.127898954829007535e-03,1.127898954829007483e+00
4.916387959866220722e-03,4.916387959866220791e-01,1.223631934155667948e-03,1.223631934155667844e+00
5.618729096989966663e-03,5.618729096989966143e-01,1.319526969744003750e-03,1.319526969744003742e+00
6.321070234113712605e-03,6.321070234113712605e-01,1.415584887374811114e-03,1.415584887374811141e+00
7.023411371237458546e-03,7.023411371237459067e-01,1.511806519865943567e-03,1.511806519865943610e+00
7.725752508361204487e-03,7.725752508361204418e-01,1.608192707156531290e-03,1.608192707156531398e+00
8.428093645484949561e-03,8.428093645484949770e-01,1.704744296392566097e-03,1.704744296392566083e+00
9.130434782608696370e-03,9.130434782608696231e-01,1.801462142013720647e-03,1.801462142013720680e+00
9.832775919732441444e-03,9.832775919732441583e-01,1.898347105841646527e-03,1.898347105841646565e+00
1.053511705685618825e-02,1.053511705685618915e+00,1.995400057169482728e-03,1.995400057169482766e+00
1.123745819397993333e-02,1.123745819397993229e+00,2.092621872852895235e-03,2.092621872852895137e+00
1.193979933110367840e-02,1.193979933110367764e+00,2.190013437402516319e-03,2.190013437402516416e+00
1.264214046822742521e-02,1.264214046822742521e+00,2.287575643077814549e-03,2.287575643077814469e+00
1.334448160535117028e-02,1.334448160535117056e+00,2.385309389982458606e-03,2.385309389982458672e+00
1.404682274247491709e-02,1.404682274247491813e+00,2.483215586161248867e-03,2.483215586161248822e+00
1.474916387959866217e-02,1.474916387959866126e+00,2.581295147698484897e-03,2.581295147698484893e+00
1.545150501672240897e-02,1.545150501672240884e+00,2.679548998818017357e-03,2.679548998818017225e+00
